"Title","ChordProgression","GuessedKey"
"East St. Louis Toodle-oo","Cm,Cm/Eb|Fm6/D,Fm6|Cm/Eb,Cm/G|Fm6,Fm6/Ab|Cm/G,Cm/Eb|Fm6,G7b9/D|Cm,Ab7|G7b9","C"
"Easter Parade","Bbmaj7,F7|Bb7|Ebmaj7|Cm7,C#07|Bbmaj7,F7|Bbmaj7,Gm7|C7,F7|Bb6,,Cm7,F7","F"
"Easy Does It","C6,Am7|Dm7,G7|C6,Am7|Dm7,G7|C6,Am7|Dm7,G7|C6,Eb07|Dm7,C7","G"
"Easy Living","Fmaj7,F#07|Gm7,G#07|Fmaj7/A,,Cm7,F7|Bbmaj7,Eb7|Fmaj7,Dm7|Gm7,C7|Fmaj7,Dm7|Gm7,C7","C"
"Easy Street","Ebmaj7,C7|Fm7,G7b13|Cm7,,Bbm7,Eb7|Abm7,Bb7|Gm7,C7|B7,Bb7#5|Ebmaj7,Ab7|Eb6,,Fm7,Bb7","Ab"
"Easy To Love","Am7|Bm7b5,E7b9|Am7|D7|Gmaj7|C7|Bm7|E7b9","E"
"Eclypso","Fm7,Bb7|Ebmaj7,Cm7|Fm7,Bb7|Ebmaj7,Gm7|Fm7,Bb7|Gm7,Cm7|Fm7,Bb7|Ebmaj7,C7","Bb"
"Eiderdown","B7alt|B7alt|Em7|Em7|Cm7|Cm7|Gm7|Gm7","C"
"El Cajon","D7,(Ab7)|G7|C7|C7|Cm7,(Gb7)|F7|Bb7sus|Bb7","F"
"Elora","Cm7|F7|Bbmaj7,Ebmaj7|Dm7,Db7|Cm7,G7b9|Cm7,F7|Bbmaj7|Dm7b5,Db7","F"
"Embraceable You","Gmaj7|Bb07|Am7|D7|Am7|Cm6|Gmaj7|F#m7b5,B7b9","D"
"End Of A Love Affair, The","Gm7,C7|Fmaj7|Fm7,Bb7|Ebmaj7|Ebm7,Ab7|Ebm7,Ab7|Dbmaj7,,Gm7,C7|Fmaj7","Bb"
"Epistrophy","Db7,D7|Db7,D7|Db7,D7|Db7,D7|Eb7,E7|Eb7,E7|Eb7,E7|Eb7,E7","Ab"
"Eronel","Gmaj7,Gmaj7/A|Bm7,E7b5|Bbm/maj7|Bbm/maj7,Eb7#11|Am7|Cm7,F7|Am7,Ab7|Gmaj7","D"
"Eternal Triangle","Bbmaj7,Gm7|Cm7,F7|Dm7,G7|Cm7,F7|Fm7,Bbm7|Eb7,Ab7|Dm7,G7|Cm7,F7,Bbmaj7,","G"
"Every Time We Say Goodbye","Ebmaj7,Fm7|Gm7,Abmaj7|Gm7,C7|Fm7,Bb7|Gm7,Gb7|Bmaj7,Emaj7#11|Bbm7,Eb7|Abm7,Db7","C"
"Everything Happens To Me","Cm7,F7|Dm7,Db07|Cm7,F7|Dm7b5,G7|B07,Cm7,Ebm7,Ab7|Dm7,G7|Cm7,F7|Bb6","G"
"Everything I Have Is Yours","Cmaj7|Ebm7,Ab7|Dm7,G7|Dm7,G7#5|Cmaj7|Ebm7,Ab7|Dm7,G7|Bm7b5,E7b9","G"
"Evidence","Ebmaj7|Gm7,C7b5b9|Fm7|Bb7b5b9|A7|Abm7,Db7|Fm7|F7#9#11","Bb"
"Exactly Like You","C6|C6|D7|D7|G7|G7|C6|Dm7,G7","G"
"Fee-Fi-Fo-Fum","Eb7,D7#9|Gm7,Abmaj7|Bmaj7,D7|Dm7,G7|Eb7,D7#9|Gm7,Abmaj7|C7(Gb7),F7|Bb7","G"
"Feel Like Makin' Love","Fm7|Bb7sus|Ebmaj7|Db7,C7|Fm7|Bb7sus|Ebmaj7|A7#11","Bb"
"Flamingo","Fmaj7,Dm7|Gm7,C7|Fm7|Bb7|Db7|Gm7,C7|Fmaj7,D7|Gm7,C7","C"
"Flat Foot Floogee","F6,Dm7|Gm7,C7|F6,Dm7|Gm7,C7|F6,F7/A|Bb,B07|F/C,C7|F6,C7","C"
"Flintstones","Bbmaj7,G7|Cm7,F7|Bbmaj7,G7|Cm7,F7|Bb7|Eb7,Ab7|Bb6|Cm7,F7","F"
"Flying Home","Eb,Eb/Db|Cm7,,B7,Bb7|Eb,Eb/Db|Cm7,,B7,Bb7|Eb,Eb/Db|Cm7,,B7,Bb7|Eb6|Bb7","Eb"
"Fools Rush In","Dm7|G7|Cmaj7|Am7|Dm7|G7|Cmaj7|A7b9","G"
"For Heaven's Sake","Bbm7,Eb7|Am7,Dm7|Gm7b5,C7b9|Fmaj7,F7|Bbm7,Eb7|Am7,D7|Gm7,C7sus|F6","C"
"For Once In My Life","Gm,Gm/F#|Fm7,Bb7#5|Eb6,Gm7|Cm7,F7|Dm7|Gm7|C7|F7#5","C"
"For Sentimental Reasons","Fmaj7,Dm7|Gm7,C7|Fmaj7,Dm7|Gm7,C7|F6,Dm7|Gm7,C7|F6,D7|Gm7,C7","C"
"Forever Sonny","Gm7|Em7b5,Eb7|Dm7,Gm7|Cm7,F7#5|Bb7|Eb7,Ab7|Cm7,F7|Bbmaj7,D7#9","G"
"Four","Ebmaj7|Ebmaj7|Ebm7|Ab7|Fm7|Fm7|Abm7|Db7","Ab"
"Four Brothers","Bb7|Bbm7,Eb7#5|Abmaj7|F7|Bbm7|Cm7,F7|Bbm7,Eb7|Ab6","Eb"
"Four In One","Eb6|G7|C7|C7|F7|Bb7|Eb6|Eb6(Fm7),(Bb7)","Bb"
"Fran Dance","Bb7|Ab7|G7sus|C7|F7|F7|Cm7,F7|Bb6","F"
"Frenesi","Bbm7,Eb7|Bbm7,Eb7|Bbm7,Eb7|Bbm7,Eb7|Abmaj7|Bbm7,Eb7|Abmaj7|Abmaj7","Eb"
"Frim Fram Sauce, The","Bb6|Bb6|C7|C7|Eb6,E07|Bb/F,G7|C7,F7|Bb6,F7","F"
"Gallop's Gallop","D7sus,D7|Bbm7,Eb7|Abmaj7,Bb7|Bbm7,Eb7|Bbm7b5,Eb7|Abmaj7,Bbm7b5|Bm7,E7|Bbm7,Eb7","Eb"
"Gee Baby, Ain't I Good To You","C7,Ab7|G7,C7|F7,Bb7|Eb6,G7|C7,Ab7|G7,C7|F7,Bb7|Eb6,Eb7","C"
"Georgia On My Mind","Fmaj7|Em7b5,A7b9|Dm,Dm/C|G/B,,Bbm7,Eb7|Am7,D7|Gm7,C7|F6|Gm7,C7","C"
"Get Happy","F6,Dm7|Gm7,C7|Am7,D7|Gm7,C7|F6,F7/A|Bb6,B07|F6/C,C7|F6,F7","C"
"Give Me The Simple Life","Fm7,Bb7|Gm7,C7|Dm7b5,G7b13|Cm7,Cm7/Bb|Am7b5,Abm6|Eb6/G,Gb07|Fm7,Bb7|Eb6,C7","C"
"Glad To Be Unhappy","Gm7|Eb7|C7|C7|Gm7|Eb7|C7|F6,F7","C"
"Glory Of Love, The","Gmaj7,Em7|Am7,D7|Gmaj7,G7|Cmaj7,Cm6|Bm7,Em7|Am7,D7|G6|Am7,D7","D"
"God Bless The Child","Eb,Eb7,Ab6,|Eb,Eb7,Ab6,|Bbm7,Eb7|Bbm7,Eb7|Abmaj7|Abm6|Gm7,C7b9|Fm7,Bb7","Eb"
"Godchild","Abmaj7|Bbm7,B07|Ebm7,Ab7|Dbm7,Gb7|Cm7,Bm7|Bbm7,Eb7|Abmaj7|Bbm7,Eb7","Eb"
"Golden Earring","Cm,G7/D|Cm/Eb,Cm7|Am7b5,Ab7|Dm7b5,G7b9|Cm,D7|G7,Ab7|G7b9|Cm","G"
"Good Bait","Bb6,Gm7|Cm7,F7|Bb6,Gm7|Cm7,F7|Bbmaj7,Bb7|Ebmaj7,Ab7|Dm,Db7,Cm,B7|Bb6,F7alt","F"
"Good Morning Heartache","Cm,Cmb6|Cm6,Cm7|Fmaj7,Bbmaj7|Am7b5,D7b9|Gm7,Bbm/maj7|Am7,Abm7|Gm7,C7#9|F6","C"
"Green Chimneys","Abm|Abm|Abm|Abm|Abm|Abm|Abm|Abm","Db"
"Hackensack","F6|Bb7|F6|Am7,D7|Gm7|C7|F6|C7","C"
"Hallucinations","F6,Bb7|A7,D7|G7,C7|F6,F7|Bb7,B07|F7/C,D7|Gm7,C7|F6","C"
"Happiness Is A Thing Called Joe","F6,Gm7|Am7,Gm7|F6,Gm7|Am7,Gm7|F6,Gm7|Am7,D7|Gm7|C7","C"
"Happy Little Sunbeam","Gm7|C7|F6|F6,Abm7|Gm7|C7|Cm7|F7","C"
"Haunted Heart","Eb6,Cm7|Fm7,Bb7|Eb6,Cm7|Fm7,Bb7|Eb6,Abmaj7|Gm7,C7b13|Fm7|Bb7","Bb"
"Have You Met Miss Jones?","Fmaj7,Bb7|Am7,D7|Gm7|C7|Am7,D7|Gm7,C7|F6|Gm7,C7","C"
"He's A Tramp","Am7,D7|Am7,D7|Am7,D7|Am7,D7|Gmaj7,Gb7|F7,E7|A7,D7|G6","D"
"Heat Wave","Gmaj7,Am7|Bm7,Am7|Gmaj7,Am7|Bm7,Am7|Gmaj7,G7|Cmaj7,F7|Em7,A7|D7,G6,G6,","G"
"Heaven","Bbmaj7|Bbmaj7|G7b5|G7b5|C7#11|C7#11|F7#5|F7#5","C"
"Hello","Am7,,Bm7,E7|Am7,D7|Gmaj7,C7|Bm7,Em7|Am7,Bm7|Am7,D7|Gmaj7,Cm6|Bm7,E7","D"
"Here's That Rainy Day","Gm(Gmaj7),Gm/maj7/F#|Fm6(Bb7),Bb7|Ebmaj7|Abmaj7|Am7|D7|Gmaj7|Dm7,G7","D"
"Here's To Life","Fm7|Bb7sus,Bb9|Ebmaj7|Abmaj9|Dm7b5|G7b9#5|Cm7|Cm7","C"
"Here's To My Lady","Ebmaj7,Fm7|Gm7,Db7|Cm7,B7#9|Bbm7,Eb7|Abmaj7,Gm7|Fm7,Fm7/Eb|Dm7b5|Db7#11","C"
"Hey There","Eb6,Cm7|Fm7,Bb7|Eb6,Cm7|Fm7,Bb7|C7|Fm7,Bb7|Ebmaj7,Cm7|Am7,D7","Bb"
"High Fly","Dm7|G7|Cmaj7,F7|Em7,A7|Cm7|F7|Bb7|B7","C"
"Hocus-Pocus","Fmaj7|Gm7,C7|Fmaj7|Bm7b5,E7b9|Am7,Ab7|Gm7,Gb7|Fmaj7,Ab7|Dbmaj7,Gb7","C"
"Home At Last","Bbmaj7|Bbmaj7|Am7b5|D7#9|Gm7|Gm7|Fm7|Bb7","D"
"Home Cookin'","F6,Gm7|Am7,Dm7|Gm7,Am7|Bbm7,Eb7|Am7,D7|Gm7,C7|Gm7,C7|F6","C"
"Honeysuckle Rose","Gm7,C7|Gm7,C7|Gm7,C7|Gm7,C7|F6,F7/A|Bb6,C7|F6,Bb7|Am7,D7","C"
"Hot House","Cm7|F7b9|Bbmaj7|Bbmaj7|Ab7b9|Ab7b9|G7b9|G7b9","C"
"House Of Jade","Dm7b5,Dbmaj7|Cm7,Db7#11|Eb7,F7|Db7,Cm7|Dm7b5,Dbmaj7|Cm7,F7|Eb7,D9sus|Db7,Cm7","G"
"How Are Things In Glocca Morra","Fmaj7|Am7,D7#9|Gm7|C7|Gm7,C7|Gm7,C7|F6|Gm7,C7sus","C"
"How Deep Is The Ocean","Cm7|Dm7b5,G7b9|Cm7|Am7b5,D7b9|Gm7|Am7b5,D7b9|Gm7,Gb7|Fm7,Bb7","C"
"How High The Moon","Gmaj7|Gmaj7|Gm7|C7|Fmaj7|Fmaj7|Fm7|Bb7","C"
"How Little We Know","Fmaj7|Fmaj7|Gm7|C7|Fmaj7|Fmaj7|Bbm7|Eb7","C"
"How Long Has This Been Going On?","C7|C07|C7,F7|Bb7,Eb7|Fmaj7,Ab07|Gm7,,C7,F7|Bbmaj7,C7b13|F6","F"
"Hungaria","G69|G69|Ab69|Ab69|G69|G69|E7|E7","C"
"I Ain't Got Nobody","G7|G7,F#7,F7,E7|A7|A7|G/D,Em|Am7,D7|G6,Em7|Am7,D7","D"
"I Can't Believe That You're In Love With Me","F6|Bb7|Cmaj7|D7|G7|G7|Cmaj7|Gm7,C7","C"
"I Can't Get Started","Cmaj7,Am7|Dm7,G7|Bm7,E7,Bbm7,Eb7|Am7,D7,Abm7,Db7|Cmaj7,A7#5|Dm7,G7|C6,A7|D7,G7","G"
"I Can't Give You Anything But Love","Fmaj7,C7|Am7,Ab07|Gm7|C7|Fmaj7,C7|Am7,Ab07|Gm7|C7","C"
"I Could Have Danced All Night","C|Cmaj7|Cmaj7|C6|Cmaj7|A7|Dm7|G7","G"
"I Could Write A Book","Cmaj7,Am7|Dm7,G7|Cmaj7,Am7|Dm7,G7|Cmaj7,Dm7|Em7,A7#9|Dm7|Bm7b5,E7b9","G"
"I Cover The Waterfront","Em7,A7|Am7,D7|Gmaj7,Cmaj7|Bm7,Bb07|Am7|D7sus,D7|Gmaj7|Bm7b5,E7b9","D"
"I Cried For You","Fmaj7|Am7,D7|Dm7/G|G7|Gm7|C7|F6|Gm7,C7","C"
"I Didn't Know About You","Gm7,C7|Fmaj7,F6|Bb7,A7|Eb9,D7b9|G7#11|Gm7,C7|F6,Gm7|Am7,D7b9","C"
"I Don't Know Enough About You","D7|G7|C7,B7|Bb7,A7|D7|Em7,A7|D7,G7|C6","G"
"I Found A New Baby","Dm7|Em7b5,A7|Dm7|D7|G7|C7|Fmaj7|Fmaj7","G"
"I Got It Bad","G0,Gmaj7|B7b13,Em7|A7,Em7|A7|Am7|B7,E7,A7,D7|G6,Em7|Am7,D7","D"
"I Got Rhythm","Bb6,Gm7|Cm7,F7|Dm7,Gm7|Cm7,F7|Bb7,Bb7/D|Eb7,E07|Bb6/F,F7|Bb6,F7","F"
"I Got The Sun In The Morning","C7b5/Gb,F6|C7b5/Gb,F6|C7b5/Gb,F6|F6,F7|Bbmaj7,Eb9|Gm7,F6|Bbmaj7,Eb9|Gm7,F6","C"
"I Guess I'll Hang My Tears Out To Dry","Em7,Ebm7|Dm7,G7|Cmaj7,Am7|Dm7(Bm7b5),G7(E7)|Gm7,C7|Fmaj7,Bb7|Em7,A7,Dm7,G7|C6,G7","G"
"I Hadn't Anyone Till You","Gm7,C7|Gm7,C7|F6,Gm7|Am7,D7|Am7,D7|Am7,D7|G7|G7","D"
"I Have Dreamed","F6|Gm7/F|F|Gm7/F|F6|Gm7/F|Gm7/C|C9","C"
"I Hear A Rhapsody","Cm7,(Gb7#11)|Fm7,Bb7|Ebmaj7,Ab7|Gm7b5,C7b9|Fm7(Fm7b5),Abm7|Bm7(Bb7b9),Bb7|Ebmaj7|Dm7b5,G9#5","C"
"I Hear Music","Am7b5,D7#5|G9,C7|Am7b5,D7#5|G9,C7|F7,Bb6|F7,Bb6|C7,F|C7,F","C"
"I Left My Heart In San Francisco","C6,G7|Em7,Eb07|Dm7|G7|Dm,Dm/maj7|Dm7,G7|Cmaj7,G7|Cmaj7,,Dm7,D#0","G"
"I Let A Song Go Out Of My Heart","Eb6,Ab7|Ebmaj7,Cm7|Gm7,C7|Gm7,C7|Fm/Ab,Gm7,Fm7,F#0|Ebmaj7/G,Ab7|Ebmaj7/Bb,Bb7|Eb6,Bb7","Bb"
"I Like The Likes Of You","Ebmaj7,Cm7|Fm7,Bb7|Ebmaj7,Cm7|Fm7,Bb7|Ebmaj7,Cm7|F7,Bb7|Eb6|Fm7,Bb7","Bb"
"I Loves You Porgy","Fmaj7,,Cm7,F7|Bbmaj7,Dm7/A|Gm7,C7sus|Fmaj7,A7b13|Dm7|G7|Gm7,C7sus|F6,C7sus","C"
"I Mean You","F6|F6|Db7|D7|Gm7|C7|F6|F6","C"
"I Remember Clifford","Ebmaj7,G7|Abmaj7,A07|Bb7,B07|Cm7,Cm7/Bb|Am7b5,D7b9|Gm7b5,C7b9|Fm7,Bb7alt|Eb6,,Fm7,Bb7","Eb"
"I See Your Face Before Me","Ebmaj7,Fm7|Gm7,Fm7|Ebmaj7,C7|Fm7,Bb7|Fm,Fm/maj7|Fm7,Bb7|Fm7,Bb7sus|Ebmaj7","Bb"
"I Should Care","Dm7,G7|Em7,A7|Dm7,G7|Cmaj7|Em7b5|A7b9|Dm7|Fm7,Bb7","A"
"I Surrender Dear","Dm7,F7|Em7b5,A7b9|Dm7,E7|Am7,D7|Cmaj7,Am7|D7|Dm7,G7|Cmaj7,A7","G"
"I Think Of You","Ab|G07/A|Ab|Ab07,G07/Ab|Ab6|F7b9|Bbm7|Eb7","Eb"
"I Thought About You","Bm7b5(Fmaj7),Bb7#11|A7,D7b13|G7,Ab7|G7|Gm7,Gm7/F|Em7b5,A7b9|Dm7,Db7|Cm7,F7","G"
"I Want To Be Happy","Cmaj7,F7|Em7,A7|Dm7|G7|Dm7|G7|C6,Am7|Dm7,G7","G"
"I Want To Talk About You","Ebmaj7|Bbm7,Eb7|Abmaj7|Abm7,Db7|Gm7,C7|Fm7,Bb7|Db7,C7|B7,Bb7","Ab"
"I Wish I Knew","Am7|D7|Am7|D7|Gmaj7|C7|Gmaj7|Bm7,E7","D"
"I Wish I Were In Love Again","Gmaj7|C7#11|Gmaj7|C7#11|Gmaj7|B7,Em7|Am7,D7|G6,D7","C"
"I Wish You Love","Fm7|Bb7|Ebmaj7,Ab7|Gm7,Gb07|Fm7|Bb7|Eb6,Ab7|Gm7,C7","Bb"
"I'll Be Around","Cmaj7,Dm7|Em7,Fmaj7|G7,G#07|Dm7/A,G7/B|Cmaj7,Am7|Dm7,G7|C6,Eb7|Abmaj7,,Dm7,G7","G"
"I'll Close My Eyes","Fmaj7|Fmaj7|Em7b5|A7b9|Dm7|G7|Cm7|F7","C"
"I'll Never Smile Again","Fm7,B9#11|Bb7sus,Bb7b9|Ebmaj7|Gm7,Gb07|Fm7,B9#11|Bb7b9|Eb6,Ab9|Gm7,Gb7b5","Bb"
"I'll Only Miss Her When I Think Of Her","Am7|D7|Gmaj7|Cmaj7|F#m7b5|B7b9|Em7,Eb7|Dm7,G7","G"
"I'll See You In My Dreams","Bb6|Bb6|Bbm6|Bbm6|F6|E7|F6|F6","Bb"
"I'm A Fool To Want You","Em6|Bm7b5,E7b9|Am6|F#m7b5,B7b9|Em7|Am7|F#m7b5,B7b9|Em6","E"
"I'm Beginning To See The Light","D7,G7|C6,A7|D7,G7|Ebm7,Ab7|D7,G7|C7,Bb7,A7,|D7,G7|C6","G"
"I'm Confessin' (That I Love You)","Gmaj7,D7#5|Gmaj7,D7#5|Gmaj7|Bm7,E7|Em7,A7|Am7,D7|G6|Am7,D7","D"
"I'm Glad There Is You","Fmaj7|Fmaj7|Fm7|Fm7(Bb7)|Gm7|C7|Fmaj7,D7b9|Gm7,C7","C"
"I'm Gonna Laugh You Right Out Of My Life","Fmaj7|Ab07|Gm7|C7sus,B07|Am7|Ab7|Dmaj7|Gm7,C7","C"
"I'm Gonna Sit Right Down and Write Myself A Letter","Gmaj7|Gmaj7,D7|Gmaj7|Gmaj7|Gmaj7|B7|C,E7|Am7","C"
"I'm In The Mood For Love","Cmaj7,Am7|Dm7,G7|Dm7,G7|Cmaj7,F7|Em7,Eb07|Dm7|G7|C6","G"
"I'm Just A Lucky So-And-So","G6|Cmaj7|G6|Dm7,G7|C7,A7|Am7,D7|G6,E7#9|Am7,D7","G"
"I'm Putting All My Eggs In One Basket","Cmaj7|Cmaj7|Gm7,C7|F6,Fm6|Em7,A7|Dm7,G7|C6,Am7|Dm7,G7","G"
"I'm Sitting On Top Of The World","Fmaj7,F7|Bbmaj7|Fmaj7,Gm7|Am7,Dm7|G7|Gm7,C7|F6|Gm7,C7","C"
"I'm Through With Love","Fmaj7,Ab07|Gm7,C7|Cm7,F7|Bbmaj7,Eb7|Am7,D7b9|Gm7,D7b9|Gm7,C7b9|F6","C"
"I've Found A New Baby","Cm7|Ab7,G7|Cm7|C7|F7|Bb7|Eb6|Ab7,G7","F"
"I've Got A Crush On You","Bbmaj7,Db07|Cm7,F7|Bbmaj7,Db07|Cm7,F7|Dm7,Gm7|C7|C7|Cm7,F7","F"
"I've Got The World On A String","F6,Eb7,D7,|Gm7,C7|Fmaj7,Bb7|Am7,Abm7|Gm7,C7|Gm7,C7|F6,Dm7|Gm7,C7","C"
"I've Grown Accustomed To Her Face","Ebmaj7,Ab7#11|Gm7,Cm7|Fm7|Bb7|Am7b5,D7b9|Gm7,C7b9|Fm7,C7b9|Fm7,Bb7","C"
"I've Heard That Song Before","Cmaj7,C6|C6|Bm7,E7|E7|A7|A7|D7|D7","A"
"I've Never Been In Love Before","Bb6,Gm7|Cm7,F7|Bbmaj7,Eb7|Dm7,G7|Cm7|F7|Bb6|Cm7,F7","F"
"I've Told Eve'ry Little Star","F6,Dm7|Gm7,C7|A7b9,Dm7|Bbm7,Eb7|Am7,Dm7|Gm7,C7|F6|Gm7,C7","C"
"If I Could Be With You","Fm7|Bb7,Bb7#5|Eb6,G7|C7|F7|Bb7|Eb6,C7|F7,Bb7","Bb"
"If I Didn't Care","Bb6,F7#5|Bb6|Bb6,F7#5|Bb6|C7,C7#5|C7|C7,C7#5|C7","F"
"If I Had You","Bbmaj7|Bb7|Ebmaj7|Ebm6|Bbmaj7,Db07|Cm7,F7|Bbmaj7,Db07|Cm7,F7","Eb"
"If I Should Lose You","Cm7|F7|Bbmaj7|Am7b5,D7b9|Gm7|C7|Cm7|Am7b5,D7b9","C"
"If I Were A Bell","F6,F7/A|Bb6,C7|F6|Em7b5,A7|Dm7,Dm7/C|Bm7b5,E7|Amaj7|Gm7,C7","C"
"If You Could See Me Now","Ebmaj7|Ab7|Ebmaj7|Abm7,Db7|Gm7,F#m7,B7,|Fm7,Bb7|Eb6|Fm7,Bb7","Ab"
"Impressions","Dm11|Dm11|Dm11|Dm11|Dm11|Dm11|Dm11|Dm11","G"
"In A Mellow Tone (In A Mellotone)","Bb7|Eb7|Ab6|Ab6|Ebm7|Ab7|Dbmaj7|Dbmaj7","Ab"
"In a Sentimental Mood","Dm,Dm/maj7|Dm7,Dm6|Gm,Gm/maj7|Gm7,,Em7b5,A7|Dm|D7|Gm7,C7b9|F6,,Em7b5,A7","G"
"In Love In Vain","Bbmaj7,Gm7|Cm7,F7|Bbmaj7,Gm7|Cm7,F7|Bbmaj7,Gm7|Cm7,F7|Dm7|G7","F"
"In The Middle Of A Kiss","Am7,C7|F7,E7|Am7,D7|Gm7,C7|Fmaj7|Em7b5,A7|Dm7,A7|Dm7","D"
"In The Wee Small Hours Of The Morning","Cmaj7,C7|C6,Caug|Cmaj7,Caug|Dm7,G7|Dm7,G7|Em7b5,A7|F#m7b5,B7|Em7,A7,Dm7,G7","G"
"In Walked Bud","Fm|Fm/maj7|Fm7|Bb7,Eb7|Ab6,F7|Bbm7,Eb7|Ab6|Gm7b5,C7b9","Bb"
"In Your Own Sweet Way","Am7b5,D7b9|Gm7,C7|Cm7,F7|Bb7,Ebmaj7|Abm7,Db7|Gbmaj7,Bmaj7|F7alt,B7|Bb7,Eb6","F"
"Indian Summer","Am7|F#m7b5,B7b9|Em7|Em7|A7|A7|Am7|D7","A"
"Irresistable You","Gm7|C7|Fmaj7,Gm7|Am7,Ab07|Gm7|C7|Fmaj7,Gm7|Am7,Bbmaj7","C"
"Is You Is Or Is You Ain't (Ma' Baby)","Fm7,Fm7/Eb|Db7,C7|Fm7,Fm7/Eb|Db7,C7|Bb7|Bb7|Eb7|Db7,C7","Bb"
"Isfahan","Dbmaj7|Bbmaj7,Bb7#5|Eb9|Eb9|Amaj7|Ab13b9|Dbmaj7|Dbmaj7","Ab"
"Island Birdie","Eb6|Fm7,Bb7|Eb6|Fm7,Bb7|Dm7b5,G7|Cm7,F7|Fm7,Bb7|Eb6","Bb"
"Isn't It A Pity","Cmaj7,Am7|F#m7b5,B7b9|Em7,A7|Dm7,G7|Cmaj7,,Gm7,C7|F,Em7,Dm7,G7|C6|Dm7,G7","G"
"Isn't It Romantic?","Eb6,Cm7|Fm7,Bb7|Ebmaj7,E07|Fm7,Bb7|Eb6/G,C7|Fm7,Bb7|Ebmaj7|Bbm7,Eb7","Bb"
"It Ain't Necessarily So","Gm7,C7|Gm7,C7|Gm7,C7|Gm7,C7|C7,Db7|C7,Db7|A7b9#5,D7#9|Gm7,C7","C"
"It Could Happen To You","Ebmaj7|E07(Gm7b5),(C7b9)|Fm7|F#07(Am7b5),(D7b9)|Ebmaj7|Abmaj7|Gm7b5|C7b9","C"
"It Don't Mean A Thing","Gm(Gm),Gm/F#|Gm/F(Gm/maj7),C7/E|Eb7(Gm7),D7|Gm|C7|C#07|Bb6|Bb6","C"
"It Had To Be You","Gmaj7,D7#5|Gmaj7,F7|E7,Bm7|E7|A7,Em7|A7,Em7|A7,Em7|A7","D"
"It Was So Good While It Lasted","Cmaj7,B7|Em7b5,A7b9|Dm7,Dm7/C|Bb7|Am7,Am7/G|F#m7b5,D7|Dm7,G7|C6,G7sus","G"
"It's A Blue World","Gm9|Gm9,C7#5|Fmaj9|Fmaj9|Cm9|Cm9,F7#5|Bbmaj9|Bbmaj9","C"
"It's A Lovely Day Today","Bbmaj7,Gm7|Cm7,F7|Bbmaj7|Fm7,Bb7|Ebmaj7,Ebm7|Bbmaj7/D,Db07|Cm7|F7","F"
"It's Been A Long Long Time","F,Fmaj7|F6|F6,F#07|C7|Gm7,D7|Gm7,C7|Gm7,C7#5|Fmaj7","C"
"It's Easy To Remember","Fm7,Bb7|Ebmaj7,C7|Fm7,Bb7|Bbm7,Eb7|Abmaj7|Db7|Cm7,F7,Fm7,Bb7|Eb6","Bb"
"It's Magic","Bbmaj7,Ebmaj7|Bb/D,Db07|Cm7,F7|Cm7,F7|Cm7|F7|Bbmaj7|F7sus,F7","F"
"It's Only a Paper Moon","Gmaj7,E7|Am7,D7|Am7,D7|Gmaj7,,Am7,D7|Dm7,G7|Cmaj7,Am7b5|D7|G6,,Am7,D7","D"
"It's The Talk Of The Town","Fmaj7,Ab07|Gm7,C7|Fmaj7,F7#5|Bbmaj7,Eb7|Fmaj7,E7|Eb7,D7|G7,C7|F6,C7","C"
"It's You Or No One","Gm7|C7|Fmaj7,Bb7|Am7,D7|Gm7|C7|Fmaj7|Fmaj7","C"
"James","D#6,B/D#|G/D,A/C#|C6,C07|G/B,Gm/Bb|D/A|Fmaj7/A|D/A|Gadd9,,G,A","G"
"Je Ne Sais Pas","Fmaj7,,Bbm7,Eb7|Abmaj7,Db7|Gm7,C7|Fmaj7,D7|Bbmaj7,B07|Fmaj7,D7b9|Gm7,C7|F6","C"
"Jeannie's Song","Gm7|C7|Gm7|C7|Fmaj7|Bb9|Am7|Ab07","C"
"Jeannine","Dbmaj7|Gm7b5,C7|Fmaj7|Fmaj7|Fm7|Bb7|Bbm7|Eb7","Bb"
"Jeepers Creepers","Cm7,F7|Bb6,Gm7|Cm7,F7|Bb6,Gm7|Cm7,F7|Bb6,Gm7|Cm7,F7|Bb6","F"
"Jersey Bounce","F6|F6|G7|G7|Gm7|C7|F6,Db7|F6","C"
"Joker, The","Eb6,C7#9|Fm7,Bb7|Gm7,C7|Fm7,Bb7|Bbm7,Eb7|Abmaj7,Db7|Fm7,Bb7|Eb6","Bb"
"Jordu","D7,G7|Cm6|F7,Bb7|Ebmaj7|D7,G7|Cm6|Ab7|Ab7","G"
"Joy Spring","Fmaj7|Gm7,C7|Fmaj7|Bbm7,Eb7|Am7,Ab7|Gm7,C7|Fmaj7|Abm7,Db7","C"
"Just A-Sittin' And A-Rockin","Ab,Ab7/C|Db,Ab6|Db,Ab/C|Bbm7,Eb7,Ab6,|Db,Ab/C|Db,D07|Db,D07,Ab/Eb,Fm7|Bbm7,Eb7,Ab6,","Db"
"Just Friends","Cmaj7|Cmaj7|Cm7|F7|Gmaj7|Gmaj7|Bbm7|Eb7","C"
"Just In Tune","D7sus|D7sus|Dm7b5|G7b9|Cm7|Cm7/Bb|Am7|Am7","G"
"Just One More Chance","Dm7,G7|Cmaj7|Am7b5,D7|Gmaj7|Bm7b5,E7|Am7|Em7,A7|Am7,D7","D"
