"Title","ChordProgression"
"9.20 Special","D9|Fm6|D9|Fm6|C|C7,B7,Bb7,A7|D9|G7,C6"
"Ballade","Fmaj7|Em7b5,A7b9|D7|D7|G7|Gm7,C7|F6|F6"
"Bark For Barksdale","F|F|Gm7|C7|F|Bb7|G7,C7|F"
"Bark For Barksdale","F|F|Gm7|C7|F|Bb7|G7,C7|F"
"Basin Street Blues","Bb,Cm7,C#0,Bb/D|Bb,Cm7,C#0,Bb/D|Bb/D,Dbm7,Cm7,F7|Bb/D,Dbm7,Cm7,F7|Bb,Bb7/Ab|Eb6/G,Ebm6/Gb|Bb/F|F7"
"Be Careful It's My Heart","Gm7/C,C7|Gm7/C,C7|F6,Gm7|G#07,F/A|Gm7/C,C7|Gm7/C,C7|F6,Gm7|G#07,F/A"
"Be Careful It's My Heart","Gm7/C,C7|Gm7/C,C7|F6,Gm7|G#07,F/A|Gm7/C,C7|Gm7/C,C7|Am7|D7"
"Be My Love","Gsus,G|Gmaj7|F#m7b5|B7b9|Em7|Em7|C#m7b5,C7b5|Bm7,E7b9"
"Be My Love","Gsus,G|Gmaj7|F#m7b5|B7b9|Em7|Em7|C#m7b5,C7b5|Bm7,E7b9"
"Be-Bop","Fm,Gm7b5|Fm/Ab,Bbm6|Fm/C|Gm7b5,C7b9|Fm,Gm7b5|Fm/Ab,Bbm6|Fm/C|Gm7b5,C7,Fm,"
"Be-Bop","Fm,Gm7b5|Fm/Ab,Bbm6|Fm/C|Gm7b5,C7b9|Fm,Gm7b5|Fm/Ab,Bbm6|Fm/C|Gm7b5,C7,Fm,"
"Beautiful Love","Em7b5|A7b9|Dm|Dm(D7)|Gm7|C7|Fmaj7|Em7b5,A7b9"
"Beauty And The Beast","Am7|B7#5#9,E7#9|Am7|Gm7,C7#9|Fm7|Ebm7,Ab13|Dbmaj9|C7alt"
"Bein' Green","Bbmaj7|A7#5|Dm7b5/Ab|G7sus,G7b9|Cm7|F7sus,F7|Bb6|Cm7,F7"
"Bernie's Tune","Dm7|Dm7|Bb7#11|Bb7#11|Em7b5|A7b9|Dm7|Dm7(Em7b5),(A7b9)"
"Bess You Is My Woman","Bb6,Gm7|Cm7,F7#9|Bbmaj7,Bb7|Ebmaj7,Ab7|Gm7,Gm7/F|Em7b5,Eb7|Dm7,Ab7|Dbmaj7,F7"
"Best Is Yet To Come (Page 2), The","Amaj7,A7|A6,,Aaug,A|F#7|F#7|B7|E7|A6|A6"
"Better Days Ahead","E/F#,B69|G/A|Dmaj9,Ab9#11|Gmaj7|Em7,F#m7|Bm7,,Am7,D7|D7,Abm7,Db7b9,|Gbmaj7"
"Between The Devil And The Deep Blue Sea","Fmaj7|Gm7,C7|Fmaj7|Gm7,C7|Cm7,F7|Bbmaj7,Eb7|Gm7,C7|F6,C7"
"Bewitched","Cmaj7,Am7(C#07)|Dm7,G7|Cmaj7(Cmaj7/E),C7#5(E7#5)|Fmaj7,F#07(Bb7#11)|C6/G(C6),Am7(Eb07)|Dm7,G7|C6,Am7|Dm7,G7"
"Bidin' My Time","Ebmaj7,C7b13|Fm7,Bb7|Ebmaj7,C7b13|Fm7,Bb7|Eb6,C7|Fm7,Abm7|Ebmaj7/Bb,Fm7,Bb7,|Eb6"
"Bidin' My Time","Ebmaj7,C7b13|Fm7,Bb7|Ebmaj7,C7b13|Fm7,Bb7|Eb6,C7|Fm7,Abm7|Ebmaj7/Bb,Bb7|Ebmaj7"
"Big Nick","Gmaj7,Em7|Am7,D7|Gmaj7,Em7|Am7,D7|G,G7/B|C,C#07|G/D,E7|Am7,D7"
"Bill Bailey, Won't You Please Come Home","G|G|G|G|G|G,Ab07|Am7|D7"
"Bill Bailey, Won't You Please Come Home","G|G|G|G|Dm7|G7|C|C"
"Billy Boy","Fmaj7|Fm6|Cmaj7|Bm7b5,E7b9|Am7|D7|Dm7|G7"
"Birth Of The Blues, The","Cmaj7,C#07|Dm7,G7|Cmaj7,E7|Fmaj7,F#07|G7|Dm7,G7|C6,Eb07|Dm7,G7"
"Black And Blue","Am7|Dm7|Am7|D7,Db7|C6,A7|Dm7,G7|C6,F7|C6,,(Bm7b5),(E7)"
"Black Butterfly","Gm7,C7|F6|Fmaj7,,Em7b5,Eb7|D7,,Eb7,D7|G7,Gb7|F7,Bb7|Eb7,D7,Db7,C7|F6,F#07"
"Black Butterfly","Gm7,C7|Fmaj7|F7,Eb7|D7b9|G7,C7|F7,B07|Am7,D7,Gm7,C7|Fmaj7"
"Black Nile","Dm6|Eb7|Dm6|Cm7,F7|Bbmaj7|A7b13|Dm6|Eb7"
"Blackberry Winter","Fmaj7,Am7|Dm7,,Gm7,C7|Fmaj7,Gm7|Am7,Bbmaj7|Am7,Dm7|Gm7,C7|F6|Gm7,C7"
"Blame It On My Youth","Ebmaj7,Fm7|Gm7,Cm7|Fm7,E07|Fm7,Bb7|Fm7,E07|Fm7,Bb7|Gm7,,Fm7,Bb7|Ebmaj7,Eb7"
"Blame It On My Youth","Ebmaj7,Fm7|Gm7,Cm7|Fm7,E07|Fm7,Bb7|Fm7,E07|Fm7,Bb7|Gm7,,Fm7,Bb7|Bbm7,Eb7"
"Blood Count","F7#11|Bb7#9|Eb7#9#11|Bbm7,Eb7|Dm|Dmaug|Dm6|Am7,D7"
"Blood Count","F7#11|Bb7#9|Eb7#9#11|Bbm7,A7|Dmaj7|Dmaj7#5|D6|Am7,D7"
"Blood Count","F7#11|Bb7#9|Eb7#9#11|Bbm7,Eb7|Dmaj7|Dmaj7#5|D6|Am7,D7"
"Blue Champagne","F6,Ab07|Gm7,C7|F6,Dm7|Db7,C7|Fmaj7,Ab07|Gm7,C7|F6|Gm7,C7"
"Blue Lou","Cm7b5|F7|Cm7b5|F7|Bbmaj7|Ebmaj7|C7,F7|Bbmaj7"
"Blue Moon","Fm7,Bb7|Eb6,Cm7|Fm7,Bb7|Eb6,A7#11|Abm7,Db7|Gbmaj7|Bb/F,F7|Fm7,Bb7"
"Blue Skies","Am|Am/maj7/G#|Am7/G|Am6/F#|Cmaj7,A7|Dm7,G7|C6|Bm7b5,E7b9"
"Blue Turning Grey Over You","Bb6|Em7b5,A7|Dm7b5|G7|C7|F7|Bb6,Ebm7|Bb6,F7"
"Blueberry Hill","Ab|Ab|Eb|Eb|Bb7|Bb7|Eb,Db7|Eb,(Eb7)"
"Body And Soul","Dmaj7,Em7|Dmaj7/F#,,Gm7,C7|F#m7,Bm7,Em7,A7|Dmaj7|Dm7,G7|Em7,Eb07|Dm7,G7|C7,B7,Bb7,"
"Bohemia After Dark","Gm7|Am7b5,D7b9|Gm7|Am7b5,D7b9|Gm7|Am7b5,D7b9|Gm7|Gm7"
"Boo Boo's Birthday","Cmaj7|B7|E7b9|E7b9|F7#11,E7#11|Eb7#11,D7#11|Dbmaj7#11|Db7"
"Boplicity","Gm7,Fmaj7|Gm7,C7|Fmaj7|Cm7,F7#5|Bbmaj7|Gm7/C|Gm7/C,C7sus|Fmaj7#11"
"Boplicity","Gm7,Fmaj7|Gm7,C7|Fmaj7|Cm7,F7#5|Bbmaj7|Gm7/C|Gm7/C,C7sus|Fmaj7#11"
"Born To Be Blue","C7,Db7#11|C7,Gb7#11|F7,Eb7|Abmaj7,G7#5|Cm7,Db7#11|Cm7,F7|Fm7,,Ab7,G7|C6,Db7#11"
"Bossa Antigua","Bbm7|Eb7|Cm7|Fm7|Bbm7|Eb7|Cm7|F7"
"Bossa Antigua","Bbm7|Eb7|Cm7|Fm7|Bbm7|Eb7|Abmaj7|Abmaj7"
"Boulevard Of Broken Dreams, The","Dm,Em7b5|Dm/F,Dm|Em7b5|A7|Em7b5|A7|Dm,Gm|Dm,A7"
"Bouncin' With Bud","Bb6,Cm7|Dm7,Ebm7|Dm7,G7|Cm7,D7|Gm7|C#07|Cm7,F7|Bb6"
"Bourbon Street Parade","Ab|Ab|Ab|Ab|Ab|Ab|Eb7|Eb7"
"Bourbon Street Parade","Ab|Ab|Ab|Ab|Ab|Ab|Db|Db"
"Bright Mississippi","F7|F7|F7|F7|Bb7|Bb7|Bb7|Bb7"
"Bright Size Life","Gmaj7|Gmaj7|Bbmaj7#11/A|Bbmaj7#11/A|D|D/C|Bbmaj7|Bbmaj7"
"Bright Size Life","G/A|G/A|F/G|F/G|A7/E|A7/E|D|D"
"Brilliant Corners","Bb,D7,Db7,|Gb7,F7#11|Bb,Ab7|Gb7,F7#11|Bb,D7,Db7,|Gb7,F7#11|Bb|Bb"
"Broadway","Bbmaj7|Bbmaj7|Eb7|Eb7|Cm7|F7|Bb6|Bb6"
"Brother Can You Spare A Dime","Cm,Cm/Eb|G7/D,C7/E|F7,Bb7|Ebmaj7,A7#11|Ab6,G7|Cm,Bbm7,Eb7,|Ab7,G7|Cm"
"Brotherhood Of Man","Eb7|Eb7|Eb7|Eb7|Eb7|Gm7,C7|F7|Bb7"
"Budo","Abmaj7,(G7)|Cm7,,F7(C7),(F7)|Bbm7,Eb7|Abmaj7,Ab7#5|Db7,D07|Cm7b5/Eb,F7|Bbm7,Eb7|Abmaj7"
"Bunko","Fmaj7,F#07|Gm7,C7b9|Am7,D7#9|Gm7,C7|F6,F7/A|Bbmaj7,B07|F6/C,,G7,C7|F6"
"Bunko","Fmaj7,F#07|Gm7,C7b9|Am7,D7#9|Gm7,C7|F6,F7/A|Bbmaj7,B07|F6/C,,G7,C7|F6"
"But Beautiful","Gmaj7,(C7)|Bm7b5,E7b9|Am7|C#m7b5,F#7b9|Gmaj7,(C7)|Bm7b5,E7b9|A7|A7"
"But Beautiful","Gmaj7,(C7)|Bm7b5,E7b9|Am7|C#m7b5,F#7b9|Gmaj7,(C7)|Bm7b5,E7b9|A7|A7"
"But Not For Me","F7(Ebmaj7),(Cm7)|Bb7(Fm7),(Bb7)|Ebmaj7,Ab7|Gm7,C7|F7|Bb7|Ebmaj7|Bbm7,Eb7"
"But Not For Me","F7(Ebmaj7),(Cm7)|Bb7(Fm7),(Bb7)|Ebmaj7,Ab7|Gm7,C7|F7|Bb7|Ebmaj7|Bbm7,Eb7"
"Bye Bye Blues","C|C|Ab7|Ab7|C|C|A7|A7"
"Bye Bye Blues","C|C|Ab7|Ab7|C|C|A7|A7"
"Bye-Ya","Db7|Ab6|Db7|Ab6|Gb7#11|Ab6|E7,B7#11|Db6,D6,Eb6,"
"Bye-Ya","Db7|Ab6|Db7|Ab6|Gb7#11|Ab6|E7,B7#11|Db6,D6,Eb6,"
"C.T.A.","D7#9|D7#9|G7|G7|C7#9|C7#9|F7|F7"
"Cabin in the Sky","Gmaj7,G#07|Am7,Bb07|Bm7b5|Bb9#11|Am,Am/maj7|Am7,Ab7|G6|G6"
"Call Me Irresponsible","F,F6|F#07|Gm7,Gm6|G#07|Fmaj7/A|A7b13|D7b13|D7b13"
"Can't Help Lovin' Dat Man","Ebmaj7,Cm7|Fm7,Bb7|Ebmaj7,,Bbm7,Eb7|Ab6,Db7|Gm7,Cm7|B7,Bb7|Eb6|Fm7,Bb7"
"Can't We Be Friends","F7|Bb7|Ebmaj7,B7|Cm7,,Gm,Gbm|Fm7|Bb7|Ebmaj7|E07"
"Candy","Ebmaj7|Ebm6|Dm7|Db07|Cm7|F7|Bb6,Eb7|Bb6"
"Catch Me","Dm7|Dm7|Dm7|Dm7|Dm7|Dm7|Dm7|A7#9,Dm7"
"Catch Me","Dm7|Dm7|Dm7|Dm7|Dm7|Dm7|Dm7|A7#9,Dm7"
"Celia","Bbmaj7|Cm7b5|Dm7|Ebm7,Ab7|Dm7,Dbm7|Cm7,B7|Bbmaj7|Bbmaj7"
"Ceora","Abmaj7|Bbm7,Eb7|Abmaj7|Ebm7,Ab7|Dbmaj7|Dm7,G7|Cm7|F7#9"
"Ceora","Abmaj7|Bbm7,Eb7|Abmaj7|Ebm7,Ab7|Dbmaj7|Dm7,G7|Cm7|F7#9"
"Charleston","Bb|D7|G7|G7|C7|F7|Bb,Db07|Cm7,F7"
"Charleston","Bb|D7|G7|G7|C7|F7|Bb,Db07|Cm7,F7"
"Chase, The","Bb6|Bb6|Eb7|Eb7|Bb6|Ebm7,Ab7|Cm7,F7|Bb6"
"Chase, The","Bb6|Bb6|Eb7|Eb7|Bb6|Ebm7,Ab7|Cm7,F7|Bb6"
"Cheers","Bb6|Eb7|Bb6|Gb7|Dm7,G7|Cm7,F7|Bb6|Cm7,F7"
"Cheetah","Bbmaj7|Cm7,C#07|Dm7,G7#9|C7,F7|Bb7|Eb,E07|Bb/F,G7|C7,F7"
"Chelsea Bridge","Bbm/maj7|Abm/maj7|Bbm/maj7,Abm/maj7|Bb7|Ebm7|Ab7|Db6|Db6,C7,B7,"
"Chelsea Bridge","Bbm/maj7|Abm/maj7|Bbm/maj7,Abm/maj7|Bb7|Ebm7|Ab7|Db6|Db6,C7,B7,"
"Chicago","Cmaj7,Dm7|Em7,A7|D7|D7,A7b9|Dm7,G7|Dm7,G7|Bb7,A7|Ab7,G7"
"Close Your Eyes","Fm7b5|Bb7b9|Fm7b5|Bb7b9|Ebm6,Cm7b5|Fm7b5,Bb7b9|Ebm6|Ebm6"
"Come Back To Me","Gm7|C7|Am7b5|D7|Gm7|C7|Fmaj7|Am7,D7"
"Come Sunday","F7|Eb7#11|F7,Gb7|G7|Cm7|F7|Bb,Eb6/Bb|Bb07,Bb6"
"Come Sunday","F7|Eb7#11|F7,Gb7|G7|Cm7|F7|Bb,Eb6/Bb|Bb07,Bb6"
"Comes Love","Gm6|Gm6|D7b13|D7b13|Am7b5|D7b9|Gm6|Am7b5,D7b9"
"Con Alma","Emaj7,G#7/D#|C#m7,B7|Bb7|Ebmaj7,,Ebm7,Ab7|Dbmaj7,F7/C|Bbm7,Ab7|G7|Cmaj7"
"Con Alma","Emaj7,G#7/D#|C#m7,B7|Bb7|Ebmaj7,,Ebm7,Ab7|Dbmaj7,F7/C|Bbm7,Ab7|G7|Cmaj7"
"Confirmation","Cm7|F7|Bbmaj7|Bbmaj7|Ebm7|Ab7|Dbmaj7|Gm7,C7alt"
"Cool One, The","Bm7|E7|Bm7|E7|Am7|D7|Am7|D7"
"Cool One, The","Bm7|E7|Bm7|E7|Am7|D7|Am7|D7"
"Copenhagen","Ebmaj7|Ebm6|Bb|G7|C7|F7|Bb|Bb,Bb7"
"Corcovado","D7/A|D7/A|Ab07|Ab07|Gm7|C7|F07,Fmaj7|Fmaj7"
"Corcovado","D7/A|D7/A|Ab07|Ab07|Gm7|C7|F07,Fmaj7|Fmaj7"
"Cotton Tail","Bb6,Gm7|Cm7,F7|Dm7,G7|Cm7,F7|Bb6,Bb7/D|Eb6,E07|Bb6/F,Gm7|F7,Bb6"
"Could It Be You","Bbmaj7|Cm7,F7|Bbmaj7|Gm7,Gbm7,Fm7,Bb7|Ebmaj7|Fm7,Bb7|Ebmaj7|Gm7,C7"
