"Title","ChordProgression","Key","RomanNumeralProgression","Mode"
"Dat Dere","Cm7,Cm7/Bb|Am7b5,Abmaj7|Am7b5,D7#9|Dm7b5,G7b9|Cm7,Cm7/Bb|Am7b5,Abmaj7|Dm7b5,G7b13|Cm7(Fm6),G7b13(Cm7)","C-","Im7,Im7/#VI/♭VII|VIm7b5,#V/♭VImaj7|VIm7b5,II7#9|IIm7b5,V7b9|Im7,Im7/#VI/♭VII|VIm7b5,#V/♭VImaj7|IIm7b5,V7b13|Im7(IVm6),V7b13(Im7)","minor"
"Day By Day","Am7|Am7(D7)|Am7(D7)|D7|Gmaj7|C7|Bm7|E9#5","A-","Im7|Im7(IV7)|Im7(IV7)|IV7|#VI/♭VIImaj7|#II/♭III7|IIm7|V9#5","minor"
"Day Dream","Fmaj7,F7/A|Bb7#5,A7b13|Dm7,F7/C|Bbm6,C7b13|Fm7,Fm7/Eb|Db7,C7|Fmaj7|Fmaj7","F","Imaj7,I7/III|IV7#5,III7b13|VIm7,I7/V|IVm6,V7b13|Im7,Im7/#VI/♭VII|#V/♭VI7,V7|Imaj7|Imaj7","major"
"Day Dreaming","Bbmaj7,Cm7|Dm7,C#07|Cm7,D07|Cm7,F7#9|Bbmaj7,Ebmaj7|D7#11,Ab9|G7b9|Cm7,F7","Bb","Imaj7,IIm7|IIIm7,#II/♭III07|IIm7,III07|IIm7,V7#9|Imaj7,IVmaj7|III7#11,#VI/♭VII9|VI7b9|IIm7,V7","major"
"Daybreak","Ebmaj7|Bb7|Ebmaj7|C7|Fm7|Bb7|Abmaj7|B7,Bb7","Eb","Imaj7|V7|Imaj7|VI7|IIm7|V7|IVmaj7|#V/♭VI7,V7","major"
"Dearly Beloved","Dm7|G7|Dm7|G7|Dm7|G7|Dm7|G7","D-","Im7|IV7|Im7|IV7|Im7|IV7|Im7|IV7","minor"
"Deed I Do","C6|Gm7,C7|Fmaj7|Bb7|Em7,A7|Dm7,G7|C6|Dm7,G7","C","I6|Vm7,I7|IVmaj7|#VI/♭VII7|IIIm7,VI7|IIm7,V7|I6|IIm7,V7","major"
"Dewey Square","Ebmaj7|Abm7|Eb7,Db7|C7|F7|Fm7,Bb7|Ebmaj7,C7|Fm7,Bb7","Eb","Imaj7|IVm7|I7,#VI/♭VII7|VI7|II7|IIm7,V7|Imaj7,VI7|IIm7,V7","major"
"Dexterity","Bbmaj7,G7|Cm7,F7|Dm7,G7|Cm7,F7|Fm7,Bb7|Ebmaj7,Ab7|Cm7,F7|Bb6","Bb","Imaj7,VI7|IIm7,V7|IIIm7,VI7|IIm7,V7|Vm7,I7|IVmaj7,#VI/♭VII7|IIm7,V7|I6","major"
"Do You Know What It Means?","Cmaj7,G7#5|Cmaj7,Am7|Em7,Am7|D7|F6,F#07|C6/G,A7b9|Dm7,G7|C6","C","Imaj7,V7#5|Imaj7,VIm7|IIIm7,VIm7|II7|IV6,#IV/♭V07|I6/V,VI7b9|IIm7,V7|I6","major"
"Don't Blame Me","Cmaj7,Em7b5|A7b13|Dm7b5,G13b9|Cmaj7,Am7|Dm7b5,G13b9|Em7b5,A7b13|Dm7,G7|C6,G7","C","Imaj7,IIIm7b5|VI7b13|IIm7b5,V13b9|Imaj7,VIm7|IIm7b5,V13b9|IIIm7b5,VI7b13|IIm7,V7|I6,V7","major"
"Don't Fence Me In","F,Fmaj7|F6,Fmaj7|F6,D7b13|Gm7,C7|Gm7,C7|Gm7,C7|Gm7,C7|F6","F","I,Imaj7|I6,Imaj7|I6,VI7b13|IIm7,V7|IIm7,V7|IIm7,V7|IIm7,V7|I6","major"
"Don't Get Around Much Anymore","C6|C6|A7|A7|D7|G7|C6|G7","C","I6|I6|VI7|VI7|II7|V7|I6|V7","major"
"Don't Go To Strangers","Bbmaj7|Eb7#11|Bbmaj7|Dm7,G7b9|Cm7b5|F7b9|Bb6,F7|Bb6","Bb","Imaj7|IV7#11|Imaj7|IIIm7,VI7b9|IIm7b5|V7b9|I6,V7|I6","major"
"Don't Misunderstand","Fmaj7|E7sus,E7alt|Ebmaj7|D7sus,D7b9|G7|C7|F6|Gm7,C7","F","Imaj7|VII7sus,VII7alt|#VI/♭VIImaj7|VI7sus,VI7b9|II7|V7|I6|IIm7,V7","major"
"Don't Take Your Love From Me","Cmaj7,Dm7|Em7,Eb07|G7/D,G7|Dm7,G7|Dm7|G7|Cmaj7|Cmaj7","C","Imaj7,IIm7|IIIm7,#II/♭III07|V7/II,V7|IIm7,V7|IIm7|V7|Imaj7|Imaj7","major"
"Down For Double","Bb6,G7|C7,F7|Bb6,G7|C7,F7|Bb6,G7|C7,F7|Bb6(Cm7)|Bb6(Db07)(Bb6)","Bb","I6,VI7|II7,V7|I6,VI7|II7,V7|I6,VI7|II7,V7|I6(IIm7)|I6(#II/♭III07)","major"
"Dream A Little Dream Of Me","G6|Eb7,D7|G6|E7b9|Am7|Cm6,F9|Gmaj7,Eb7,D7|G6,D7","G","I6|#V/♭VI7,V7|I6|VI7b9|IIm7|IVm6,#VI/♭VII9|Imaj7,#V/♭VI7,V7|I6,V7","major"
"Dreamsville","Cmaj7|Gm7/C|Cmaj7|Gm7,F#7|Cm7/F,F7|Dm7,Ebm7|Dm7,Db7#11|Cmaj7","C","Imaj7|Vm7/I|Imaj7|Vm7,#IV/♭V7|Im7/IV,IV7|IIm7,#II/♭IIIm7|IIm7,#I/♭II7#11|Imaj7","major"
"Driftin'","Eb7,G7|Ab7,G7|Cm7,Bbm7|Am7b5,Ab7|Gm7|C7|Fm7,Bb7|Eb,Bb7","Eb","I7,III7|IV7,III7|VIm7,Vm7|#IV/♭Vm7b5,IV7|IIIm7|VI7|IIm7,V7|I,V7","major"
"Duke, The","Cmaj7,Fmaj7|Em7/G,Am7,B7|Em7,Am7|Dm7,Fm7,Bb7|Ebmaj7,Dbmaj7|Cm7,Bm7|Bbm7,Eb7,Abmaj7|D7,Db7,Cmaj7","C","Imaj7,IVmaj7|IIIm7/V,VIm7,VII7|IIIm7,VIm7|IIm7,IVm7,#VI/♭VII7|#II/♭IIImaj7,#I/♭IImaj7|Im7,VIIm7|#VI/♭VIIm7,#II/♭III7,#V/♭VImaj7|II7,#I/♭II7,Imaj7","major"
"East St. Louis Toodle-oo","Cm,Cm/Eb|Fm6/D,Fm6|Cm/Eb,Cm/G|Fm6,Fm6/Ab|Cm/G,Cm/Eb|Fm6,G7b9/D|Cm,Ab7|G7b9","C-","Im,Im/#II/♭III|IVm6/II,IVm6|Im/#II/♭III,Im/V|IVm6,IVm6/#V/♭VI|Im/V,Im/#II/♭III|IVm6,V7b9/II|Im,#V/♭VI7|V7b9","minor"
"Easy Does It","C6,Am7|Dm7,G7|C6,Am7|Dm7,G7|C6,Am7|Dm7,G7|C6,Eb07|Dm7,C7","C","I6,VIm7|IIm7,V7|I6,VIm7|IIm7,V7|I6,VIm7|IIm7,V7|I6,#II/♭III07|IIm7,I7","major"
"Easy Living","Fmaj7,F#07|Gm7,G#07|Fmaj7/A,Cm7,F7|Bbmaj7,Eb7|Fmaj7,Dm7|Gm7,C7|Fmaj7,Dm7|Gm7,C7","F","Imaj7,#I/♭II07|IIm7,#II/♭III07|Imaj7/III,Vm7,I7|IVmaj7,#VI/♭VII7|Imaj7,VIm7|IIm7,V7|Imaj7,VIm7|IIm7,V7","major"
"Eclypso","Fm7,Bb7|Ebmaj7,Cm7|Fm7,Bb7|Ebmaj7,Gm7|Fm7,Bb7|Gm7,Cm7|Fm7,Bb7|Ebmaj7,C7","Eb","IIm7,V7|Imaj7,VIm7|IIm7,V7|Imaj7,IIIm7|IIm7,V7|IIIm7,VIm7|IIm7,V7|Imaj7,VI7","major"
"Elora","Cm7|F7|Bbmaj7,Ebmaj7|Dm7,Db7|Cm7,G7b9|Cm7,F7|Bbmaj7|Dm7b5,Db7","Bb","IIm7|V7|Imaj7,IVmaj7|IIIm7,#II/♭III7|IIm7,VI7b9|IIm7,V7|Imaj7|IIIm7b5,#II/♭III7","major"
"Exactly Like You","C6|C6|D7|D7|G7|G7|C6|Dm7,G7","C","I6|I6|II7|II7|V7|V7|I6|IIm7,V7","major"
"Flamingo","Fmaj7,Dm7|Gm7,C7|Fm7|Bb7|Db7|Gm7,C7|Fmaj7,D7|Gm7,C7","F","Imaj7,VIm7|IIm7,V7|Im7|IV7|#V/♭VI7|IIm7,V7|Imaj7,VI7|IIm7,V7","major"
"Flat Foot Floogee","F6,Dm7|Gm7,C7|F6,Dm7|Gm7,C7|F6,F7/A|Bb,B07|F/C,C7|F6,C7","F","I6,VIm7|IIm7,V7|I6,VIm7|IIm7,V7|I6,I7/III|IV,#IV/♭V07|I/V,V7|I6,V7","major"
"Flintstones","Bbmaj7,G7|Cm7,F7|Bbmaj7,G7|Cm7,F7|Bb7|Eb7,Ab7|Bb6|Cm7,F7","Bb","Imaj7,VI7|IIm7,V7|Imaj7,VI7|IIm7,V7|I7|IV7,#VI/♭VII7|I6|IIm7,V7","major"
"Fools Rush In","Dm7|G7|Cmaj7|Am7|Dm7|G7|Cmaj7|A7b9","C","IIm7|V7|Imaj7|VIm7|IIm7|V7|Imaj7|VI7b9","major"
"For Sentimental Reasons","Fmaj7,Dm7|Gm7,C7|Fmaj7,Dm7|Gm7,C7|F6,Dm7|Gm7,C7|F6,D7|Gm7,C7","F","Imaj7,VIm7|IIm7,V7|Imaj7,VIm7|IIm7,V7|I6,VIm7|IIm7,V7|I6,VI7|IIm7,V7","major"
"Hackensack","F6|Bb7|F6|Am7,D7|Gm7|C7|F6|C7","F","I6|IV7|I6|IIIm7,VI7|IIm7|V7|I6|V7","major"
