"Title","ChordProgression","Key","RomanNumeralProgression"
"Always And Forever","Am9,,Dm7,Em7|Fmaj7,,G9,E7/G#|Am9,Abmaj7|Cmaj9/G,F#m7b5|Fmaj7,Eb69|D9,G7sus|Cmaj7|Fm6/G,E/G#","F","IIIm9,NANA,VIm7,VIIm7|Imaj7,NANA,II9,VII7/#II/♭III|IIIm9,#II/♭IIImaj7|Vmaj9/II,#I/♭IIm7b5|Imaj7,#VI/♭VII69|VI9,II7sus|Vmaj7|Im6/II,VII/#II/♭III"
"Among My Souvenirs","Ebmaj7,C7b9|Fm7,Bb7|Fm7,Bb7|Ebmaj7,Ab7|Gm7,Gb7|Fm7|Bb7|Eb6","Eb","Imaj7,VI7b9|IIm7,V7|IIm7,V7|Imaj7,IV7|IIIm7,#II/♭III7|IIm7|V7|I6"
"Angel Eyes","Cm,,D7,Db7(G7)|Cm,Ab7|Cm,Am7b5|Dm7b5,G7b9|Cm,,D7,Db7(G7)|Cm,A7alt|Ab7,G7b9|Cm,,(Dm7b5),(G7)","C-","Im,NANA,II7,#I/♭II7(V7)|Im,#V/♭VI7|Im,VIm7b5|IIm7b5,V7b9|Im,NANA,II7,#I/♭II7(V7)|Im,VI7alt|#V/♭VI7,V7b9|Im,NANA,NANA(NANA),NANA(NANA)"
"Anthropology","Bbmaj7,G7|Cm7,F7|Dm7,G7|Cm7,F7|Fm7,Bb7|Eb7,Ab7|Cm7,F7|Bb6","Bb","Imaj7,VI7|IIm7,V7|IIIm7,VI7|IIm7,V7|Vm7,I7|IV7,#VI/♭VII7|IIm7,V7|I6"
"April In Paris","G7b9sus|Cmaj7|Dm7b5|G7b9|Cmaj7|Cmaj7|Gm7|C7",NA,""
"Aren't You Glad You're You","Fmaj7,Fmaj7/A|Bb6,B07|C7|F6|C7|F6,D7|G7|C,C7","F","Imaj7,Imaj7/III|IV6,#IV/♭V07|V7|I6|V7|I6,VI7|II7|V,V7"
"Armando's Rhumba","Cm7|D7b9|G7b13|Cm7|Cm7|D7b9|G7b13|Cm7","C-","Im7|II7b9|V7b13|Im7|Im7|II7b9|V7b13|Im7"
"As Long As I Live","Fmaj7|Em7b5,A7b9|D7|D7|G7|Gm7,C7|Fmaj7,Bb7|F6,C7","F","Imaj7|VIIm7b5,III7b9|VI7|VI7|II7|IIm7,V7|Imaj7,IV7|I6,V7"
"As Time Goes By","Fm7,Bb7|Fm7(Bbm6),Bb7|Ebmaj7,Bb7#5(Fm7)|Ebmaj7(Gm7),(C7)|F7,F#07|Gm7,C7b9|Fm7,Bb7|Eb6,C7b9",NA,""
"Ask Me Now","Gm7,C7,F#m7,B7|Fm7,Bb7,Em7,A7|Ebm7,Ab7#5|B7#11,Bb7|Eb7,D7|Dbmaj7,Eb7|Ebm7,Ab7#5|Dbmaj7",NA,""
"At Last","C6,Am7|Dm7,G7b13|Cmaj7,Am7|Dm7,G7#9|Em7,A7|Dm7,G7|C6,Am7|Dm7,G7","C","I6,VIm7|IIm7,V7b13|Imaj7,VIm7|IIm7,V7#9|IIIm7,VI7|IIm7,V7|I6,VIm7|IIm7,V7"
"Autumn In New York","Gm7,Am7|Bb6,C7|Fmaj7,Gm7|Am7,D7b9|Gm7,Am7|Bb6,C7|Am7b5|D7b9","G-","Im7,IIm7|#II/♭III6,IV7|#VI/♭VIImaj7,Im7|IIm7,V7b9|Im7,IIm7|#II/♭III6,IV7|IIm7b5|V7b9"
"Autumn Leaves","Cm7|F7|Bbmaj7|Ebmaj7|Am7b5|D7b13|Gm6|Gm6","Bb","IIm7|V7|Imaj7|IVmaj7|VIIm7b5|III7b13|VIm6|VIm6"
"Ballad For Very Tired And Very Sad Lotus Eaters","Bbm7b9,Eb13b9|Ab07,Abmaj7|Bbm7,Eb13|Ebm7,Ab7b9|Dbmaj7|Bb9,E7|Bbm7,Eb7sus|Ab69,Eb7sus",NA,""
"Ballade","Fmaj7|Em7b5,A7b9|D7|D7|G7|Gm7,C7|Fmaj7,Dm7|Gm7,C7","F","Imaj7|VIIm7b5,III7b9|VI7|VI7|II7|IIm7,V7|Imaj7,VIm7|IIm7,V7"
"Bark For Barksdale","F|F|Gm7|C7|F|Bb7|G7,C7|F","F","I|I|IIm7|V7|I|IV7|II7,V7|I"
"Basin Street Blues","Bb,Cm7,C#0,Bb/D|Bb,Cm7,C#0,Bb/D|Bb/D,Dbm7,Cm7,F7|Bb/D,Dbm7,Cm7,F7|Bb,Bb7/Ab|Eb6/G,Ebm6/Gb|Bb/F|F7","Bb","I,IIm7,#II/♭III0,I/III|I,IIm7,#II/♭III0,I/III|I/III,#II/♭IIIm7,IIm7,V7|I/III,#II/♭IIIm7,IIm7,V7|I,I7/#VI/♭VII|IV6/VI,IVm6/#V/♭VI|I/V|V7"
"Be Careful It's My Heart","Gm7/C,C7|Gm7/C,C7|F6,Gm7|G#07,F/A|Gm7/C,C7|Gm7/C,C7|F6,Gm7|G#07,F/A",NA,""
"Be My Love","Gsus,G|Gmaj7|F#m7b5|B7b9|Em7|Em7|C#m7b5,C7b5|Bm7,E7b9",NA,""
"Be-Bop","Fm,Gm7b5|Fm/Ab,Bbm6|Fm/C|Gm7b5,C7b9|Fm,Gm7b5|Fm/Ab,Bbm6|Fm/C|Gm7b5,C7,Fm,",NA,""
