"Title","ChordProgression","Key","RomanNumeralProgression"
"Here's That Rainy Day","Gm(Gmaj7),Gm/maj7/F#|Fm6(Bb7),Bb7|Ebmaj7|Abmaj7|Am7|D7|Gmaj7|Dm7,G7",NA,""
"Here's To Life","Fm7|Bb7sus,Bb9|Ebmaj7|Abmaj9|Dm7b5|G7b9#5|Cm7|Cm7",NA,""
"Here's To My Lady","Ebmaj7,Fm7|Gm7,Db7|Cm7,B7#9|Bbm7,Eb7|Abmaj7,Gm7|Fm7,Fm7/Eb|Dm7b5|Db7#11",NA,""
"Hey There","Eb6,Cm7|Fm7,Bb7|Eb6,Cm7|Fm7,Bb7|C7|Fm7,Bb7|Ebmaj7,Cm7|Am7,D7",NA,""
"High Fly","Dm7|G7|Cmaj7,F7|Em7,A7|Cm7|F7|Bb7|B7",NA,""
"Hocus-Pocus","Fmaj7|Gm7,C7|Fmaj7|Bm7b5,E7b9|Am7,Ab7|Gm7,Gb7|Fmaj7,Ab7|Dbmaj7,Gb7",NA,""
"Home At Last","Bbmaj7|Bbmaj7|Am7b5|D7#9|Gm7|Gm7|Fm7|Bb7",NA,""
"Home Cookin'","F6,Gm7|Am7,Dm7|Gm7,Am7|Bbm7,Eb7|Am7,D7|Gm7,C7|Gm7,C7|F6",NA,""
"Honeysuckle Rose","Gm7,C7|Gm7,C7|Gm7,C7|Gm7,C7|F6,F7/A|Bb6,C7|F6,Bb7|Am7,D7",NA,""
"Hot House","Cm7|F7b9|Bbmaj7|Bbmaj7|Ab7b9|Ab7b9|G7b9|G7b9",NA,""
"House Of Jade","Dm7b5,Dbmaj7|Cm7,Db7#11|Eb7,F7|Db7,Cm7|Dm7b5,Dbmaj7|Cm7,F7|Eb7,D9sus|Db7,Cm7",NA,""
"How Are Things In Glocca Morra","Fmaj7|Am7,D7#9|Gm7|C7|Gm7,C7|Gm7,C7|F6|Gm7,C7sus",NA,""
"How Deep Is The Ocean","Cm7|Dm7b5,G7b9|Cm7|Am7b5,D7b9|Gm7|Am7b5,D7b9|Gm7,Gb7|Fm7,Bb7",NA,""
"How High The Moon","Gmaj7|Gmaj7|Gm7|C7|Fmaj7|Fmaj7|Fm7|Bb7",NA,""
"How Little We Know","Fmaj7|Fmaj7|Gm7|C7|Fmaj7|Fmaj7|Bbm7|Eb7",NA,""
"How Long Has This Been Going On?","C7|C07|C7,F7|Bb7,Eb7|Fmaj7,Ab07|Gm7,,C7,F7|Bbmaj7,C7b13|F6",NA,""
"Hungaria","G69|G69|Ab69|Ab69|G69|G69|E7|E7",NA,""
"I Ain't Got Nobody","G7|G7,F#7,F7,E7|A7|A7|G/D,Em|Am7,D7|G6,Em7|Am7,D7",NA,""
"I Can't Believe That You're In Love With Me","F6|Bb7|Cmaj7|D7|G7|G7|Cmaj7|Gm7,C7",NA,""
"I Can't Get Started","Cmaj7,Am7|Dm7,G7|Bm7,E7,Bbm7,Eb7|Am7,D7,Abm7,Db7|Cmaj7,A7#5|Dm7,G7|C6,A7|D7,G7",NA,""
"I Can't Give You Anything But Love","Fmaj7,C7|Am7,Ab07|Gm7|C7|Fmaj7,C7|Am7,Ab07|Gm7|C7",NA,""
"I Could Have Danced All Night","C|Cmaj7|Cmaj7|C6|Cmaj7|A7|Dm7|G7",NA,""
"I Could Write A Book","Cmaj7,Am7|Dm7,G7|Cmaj7,Am7|Dm7,G7|Cmaj7,Dm7|Em7,A7#9|Dm7|Bm7b5,E7b9",NA,""
"I Cover The Waterfront","Em7,A7|Am7,D7|Gmaj7,Cmaj7|Bm7,Bb07|Am7|D7sus,D7|Gmaj7|Bm7b5,E7b9",NA,""
"I Cried For You","Fmaj7|Am7,D7|Dm7/G|G7|Gm7|C7|F6|Gm7,C7",NA,""
"I Didn't Know About You","Gm7,C7|Fmaj7,F6|Bb7,A7|Eb9,D7b9|G7#11|Gm7,C7|F6,Gm7|Am7,D7b9",NA,""
"I Don't Know Enough About You","D7|G7|C7,B7|Bb7,A7|D7|Em7,A7|D7,G7|C6",NA,""
"I Found A New Baby","Dm7|Em7b5,A7|Dm7|D7|G7|C7|Fmaj7|Fmaj7",NA,""
"I Got It Bad","G0,Gmaj7|B7b13,Em7|A7,Em7|A7|Am7|B7,E7,A7,D7|G6,Em7|Am7,D7",NA,""
"I Got Rhythm","Bb6,Gm7|Cm7,F7|Dm7,Gm7|Cm7,F7|Bb7,Bb7/D|Eb7,E07|Bb6/F,F7|Bb6,F7",NA,""
"I Got The Sun In The Morning","C7b5/Gb,F6|C7b5/Gb,F6|C7b5/Gb,F6|F6,F7|Bbmaj7,Eb9|Gm7,F6|Bbmaj7,Eb9|Gm7,F6",NA,""
"I Guess I'll Hang My Tears Out To Dry","Em7,Ebm7|Dm7,G7|Cmaj7,Am7|Dm7(Bm7b5),G7(E7)|Gm7,C7|Fmaj7,Bb7|Em7,A7,Dm7,G7|C6,G7",NA,""
"I Hadn't Anyone Till You","Gm7,C7|Gm7,C7|F6,Gm7|Am7,D7|Am7,D7|Am7,D7|G7|G7",NA,""
"I Have Dreamed","F6|Gm7/F|F|Gm7/F|F6|Gm7/F|Gm7/C|C9",NA,""
"I Hear A Rhapsody","Cm7,(Gb7#11)|Fm7,Bb7|Ebmaj7,Ab7|Gm7b5,C7b9|Fm7(Fm7b5),Abm7|Bm7(Bb7b9),Bb7|Ebmaj7|Dm7b5,G9#5",NA,""
"I Hear Music","Am7b5,D7#5|G9,C7|Am7b5,D7#5|G9,C7|F7,Bb6|F7,Bb6|C7,F|C7,F",NA,""
"I Left My Heart In San Francisco","C6,G7|Em7,Eb07|Dm7|G7|Dm,Dm/maj7|Dm7,G7|Cmaj7,G7|Cmaj7,,Dm7,D#0",NA,""
"I Let A Song Go Out Of My Heart","Eb6,Ab7|Ebmaj7,Cm7|Gm7,C7|Gm7,C7|Fm/Ab,Gm7,Fm7,F#0|Ebmaj7/G,Ab7|Ebmaj7/Bb,Bb7|Eb6,Bb7",NA,""
"I Like The Likes Of You","Ebmaj7,Cm7|Fm7,Bb7|Ebmaj7,Cm7|Fm7,Bb7|Ebmaj7,Cm7|F7,Bb7|Eb6|Fm7,Bb7",NA,""
"I Loves You Porgy","Fmaj7,,Cm7,F7|Bbmaj7,Dm7/A|Gm7,C7sus|Fmaj7,A7b13|Dm7|G7|Gm7,C7sus|F6,C7sus",NA,""
"I Mean You","F6|F6|Db7|D7|Gm7|C7|F6|F6",NA,""
"I Remember Clifford","Ebmaj7,G7|Abmaj7,A07|Bb7,B07|Cm7,Cm7/Bb|Am7b5,D7b9|Gm7b5,C7b9|Fm7,Bb7alt|Eb6,,Fm7,Bb7",NA,""
"I See Your Face Before Me","Ebmaj7,Fm7|Gm7,Fm7|Ebmaj7,C7|Fm7,Bb7|Fm,Fm/maj7|Fm7,Bb7|Fm7,Bb7sus|Ebmaj7",NA,""
"I Should Care","Dm7,G7|Em7,A7|Dm7,G7|Cmaj7|Em7b5|A7b9|Dm7|Fm7,Bb7",NA,""
"I Surrender Dear","Dm7,F7|Em7b5,A7b9|Dm7,E7|Am7,D7|Cmaj7,Am7|D7|Dm7,G7|Cmaj7,A7",NA,""
"I Think Of You","Ab|G07/A|Ab|Ab07,G07/Ab|Ab6|F7b9|Bbm7|Eb7",NA,""
"I Thought About You","Bm7b5(Fmaj7),Bb7#11|A7,D7b13|G7,Ab7|G7|Gm7,Gm7/F|Em7b5,A7b9|Dm7,Db7|Cm7,F7",NA,""
"I Want To Be Happy","Cmaj7,F7|Em7,A7|Dm7|G7|Dm7|G7|C6,Am7|Dm7,G7",NA,""
"I Want To Talk About You","Ebmaj7|Bbm7,Eb7|Abmaj7|Abm7,Db7|Gm7,C7|Fm7,Bb7|Db7,C7|B7,Bb7",NA,""
"I Wish I Knew","Am7|D7|Am7|D7|Gmaj7|C7|Gmaj7|Bm7,E7",NA,""
"I Wish I Were In Love Again","Gmaj7|C7#11|Gmaj7|C7#11|Gmaj7|B7,Em7|Am7,D7|G6,D7",NA,""
"I Wish You Love","Fm7|Bb7|Ebmaj7,Ab7|Gm7,Gb07|Fm7|Bb7|Eb6,Ab7|Gm7,C7",NA,""
"I'll Be Around","Cmaj7,Dm7|Em7,Fmaj7|G7,G#07|Dm7/A,G7/B|Cmaj7,Am7|Dm7,G7|C6,Eb7|Abmaj7,,Dm7,G7",NA,""
"I'll Close My Eyes","Fmaj7|Fmaj7|Em7b5|A7b9|Dm7|G7|Cm7|F7",NA,""
"I'll Never Smile Again","Fm7,B9#11|Bb7sus,Bb7b9|Ebmaj7|Gm7,Gb07|Fm7,B9#11|Bb7b9|Eb6,Ab9|Gm7,Gb7b5",NA,""
"I'll Only Miss Her When I Think Of Her","Am7|D7|Gmaj7|Cmaj7|F#m7b5|B7b9|Em7,Eb7|Dm7,G7",NA,""
"I'll See You In My Dreams","Bb6|Bb6|Bbm6|Bbm6|F6|E7|F6|F6",NA,""
"I'm A Fool To Want You","Em6|Bm7b5,E7b9|Am6|F#m7b5,B7b9|Em7|Am7|F#m7b5,B7b9|Em6",NA,""
"I'm Beginning To See The Light","D7,G7|C6,A7|D7,G7|Ebm7,Ab7|D7,G7|C7,Bb7,A7,|D7,G7|C6",NA,""
"I'm Confessin' (That I Love You)","Gmaj7,D7#5|Gmaj7,D7#5|Gmaj7|Bm7,E7|Em7,A7|Am7,D7|G6|Am7,D7",NA,""
"I'm Glad There Is You","Fmaj7|Fmaj7|Fm7|Fm7(Bb7)|Gm7|C7|Fmaj7,D7b9|Gm7,C7",NA,""
"I'm Gonna Laugh You Right Out Of My Life","Fmaj7|Ab07|Gm7|C7sus,B07|Am7|Ab7|Dmaj7|Gm7,C7",NA,""
"I'm Gonna Sit Right Down and Write Myself A Letter","Gmaj7|Gmaj7,D7|Gmaj7|Gmaj7|Gmaj7|B7|C,E7|Am7",NA,""
"I'm In The Mood For Love","Cmaj7,Am7|Dm7,G7|Dm7,G7|Cmaj7,F7|Em7,Eb07|Dm7|G7|C6",NA,""
"I'm Just A Lucky So-And-So","G6|Cmaj7|G6|Dm7,G7|C7,A7|Am7,D7|G6,E7#9|Am7,D7",NA,""
"I'm Putting All My Eggs In One Basket","Cmaj7|Cmaj7|Gm7,C7|F6,Fm6|Em7,A7|Dm7,G7|C6,Am7|Dm7,G7",NA,""
"I'm Sitting On Top Of The World","Fmaj7,F7|Bbmaj7|Fmaj7,Gm7|Am7,Dm7|G7|Gm7,C7|F6|Gm7,C7",NA,""
"I'm Through With Love","Fmaj7,Ab07|Gm7,C7|Cm7,F7|Bbmaj7,Eb7|Am7,D7b9|Gm7,D7b9|Gm7,C7b9|F6",NA,""
"I've Found A New Baby","Cm7|Ab7,G7|Cm7|C7|F7|Bb7|Eb6|Ab7,G7",NA,""
"I've Got A Crush On You","Bbmaj7,Db07|Cm7,F7|Bbmaj7,Db07|Cm7,F7|Dm7,Gm7|C7|C7|Cm7,F7",NA,""
"I've Got The World On A String","F6,Eb7,D7,|Gm7,C7|Fmaj7,Bb7|Am7,Abm7|Gm7,C7|Gm7,C7|F6,Dm7|Gm7,C7",NA,""
"I've Grown Accustomed To Her Face","Ebmaj7,Ab7#11|Gm7,Cm7|Fm7|Bb7|Am7b5,D7b9|Gm7,C7b9|Fm7,C7b9|Fm7,Bb7",NA,""
"I've Heard That Song Before","Cmaj7,C6|C6|Bm7,E7|E7|A7|A7|D7|D7",NA,""
"I've Never Been In Love Before","Bb6,Gm7|Cm7,F7|Bbmaj7,Eb7|Dm7,G7|Cm7|F7|Bb6|Cm7,F7",NA,""
"I've Told Eve'ry Little Star","F6,Dm7|Gm7,C7|A7b9,Dm7|Bbm7,Eb7|Am7,Dm7|Gm7,C7|F6|Gm7,C7",NA,""
"If I Could Be With You","Fm7|Bb7,Bb7#5|Eb6,G7|C7|F7|Bb7|Eb6,C7|F7,Bb7",NA,""
"If I Didn't Care","Bb6,F7#5|Bb6|Bb6,F7#5|Bb6|C7,C7#5|C7|C7,C7#5|C7",NA,""
"If I Had You","Bbmaj7|Bb7|Ebmaj7|Ebm6|Bbmaj7,Db07|Cm7,F7|Bbmaj7,Db07|Cm7,F7",NA,""
"If I Should Lose You","Cm7|F7|Bbmaj7|Am7b5,D7b9|Gm7|C7|Cm7|Am7b5,D7b9",NA,""
"If I Were A Bell","F6,F7/A|Bb6,C7|F6|Em7b5,A7|Dm7,Dm7/C|Bm7b5,E7|Amaj7|Gm7,C7",NA,""
"If You Could See Me Now","Ebmaj7|Ab7|Ebmaj7|Abm7,Db7|Gm7,F#m7,B7,|Fm7,Bb7|Eb6|Fm7,Bb7",NA,""
"Impressions","Dm11|Dm11|Dm11|Dm11|Dm11|Dm11|Dm11|Dm11",NA,""
"In A Mellow Tone (In A Mellotone)","Bb7|Eb7|Ab6|Ab6|Ebm7|Ab7|Dbmaj7|Dbmaj7",NA,""
"In a Sentimental Mood","Dm,Dm/maj7|Dm7,Dm6|Gm,Gm/maj7|Gm7,,Em7b5,A7|Dm|D7|Gm7,C7b9|F6,,Em7b5,A7",NA,""
"In Love In Vain","Bbmaj7,Gm7|Cm7,F7|Bbmaj7,Gm7|Cm7,F7|Bbmaj7,Gm7|Cm7,F7|Dm7|G7",NA,""
"In The Middle Of A Kiss","Am7,C7|F7,E7|Am7,D7|Gm7,C7|Fmaj7|Em7b5,A7|Dm7,A7|Dm7",NA,""
"In The Wee Small Hours Of The Morning","Cmaj7,C7|C6,Caug|Cmaj7,Caug|Dm7,G7|Dm7,G7|Em7b5,A7|F#m7b5,B7|Em7,A7,Dm7,G7",NA,""
"In Walked Bud","Fm|Fm/maj7|Fm7|Bb7,Eb7|Ab6,F7|Bbm7,Eb7|Ab6|Gm7b5,C7b9",NA,""
"In Your Own Sweet Way","Am7b5,D7b9|Gm7,C7|Cm7,F7|Bb7,Ebmaj7|Abm7,Db7|Gbmaj7,Bmaj7|F7alt,B7|Bb7,Eb6",NA,""
"Indian Summer","Am7|F#m7b5,B7b9|Em7|Em7|A7|A7|Am7|D7",NA,""
"Irresistable You","Gm7|C7|Fmaj7,Gm7|Am7,Ab07|Gm7|C7|Fmaj7,Gm7|Am7,Bbmaj7",NA,""
"Is You Is Or Is You Ain't (Ma' Baby)","Fm7,Fm7/Eb|Db7,C7|Fm7,Fm7/Eb|Db7,C7|Bb7|Bb7|Eb7|Db7,C7",NA,""
"Isfahan","Dbmaj7|Bbmaj7,Bb7#5|Eb9|Eb9|Amaj7|Ab13b9|Dbmaj7|Dbmaj7",NA,""
"Island Birdie","Eb6|Fm7,Bb7|Eb6|Fm7,Bb7|Dm7b5,G7|Cm7,F7|Fm7,Bb7|Eb6",NA,""
"Isn't It A Pity","Cmaj7,Am7|F#m7b5,B7b9|Em7,A7|Dm7,G7|Cmaj7,,Gm7,C7|F,Em7,Dm7,G7|C6|Dm7,G7",NA,""
"Isn't It Romantic?","Eb6,Cm7|Fm7,Bb7|Ebmaj7,E07|Fm7,Bb7|Eb6/G,C7|Fm7,Bb7|Ebmaj7|Bbm7,Eb7",NA,""
"It Ain't Necessarily So","Gm7,C7|Gm7,C7|Gm7,C7|Gm7,C7|C7,Db7|C7,Db7|A7b9#5,D7#9|Gm7,C7",NA,""
"It Could Happen To You","Ebmaj7|E07(Gm7b5),(C7b9)|Fm7|F#07(Am7b5),(D7b9)|Ebmaj7|Abmaj7|Gm7b5|C7b9",NA,""
"It Don't Mean A Thing","Gm(Gm),Gm/F#|Gm/F(Gm/maj7),C7/E|Eb7(Gm7),D7|Gm|C7|C#07|Bb6|Bb6",NA,""
"It Had To Be You","Gmaj7,D7#5|Gmaj7,F7|E7,Bm7|E7|A7,Em7|A7,Em7|A7,Em7|A7",NA,""
"It Was So Good While It Lasted","Cmaj7,B7|Em7b5,A7b9|Dm7,Dm7/C|Bb7|Am7,Am7/G|F#m7b5,D7|Dm7,G7|C6,G7sus",NA,""
"It's A Blue World","Gm9|Gm9,C7#5|Fmaj9|Fmaj9|Cm9|Cm9,F7#5|Bbmaj9|Bbmaj9",NA,""
"It's A Lovely Day Today","Bbmaj7,Gm7|Cm7,F7|Bbmaj7|Fm7,Bb7|Ebmaj7,Ebm7|Bbmaj7/D,Db07|Cm7|F7",NA,""
"It's Been A Long Long Time","F,Fmaj7|F6|F6,F#07|C7|Gm7,D7|Gm7,C7|Gm7,C7#5|Fmaj7",NA,""
"It's Easy To Remember","Fm7,Bb7|Ebmaj7,C7|Fm7,Bb7|Bbm7,Eb7|Abmaj7|Db7|Cm7,F7,Fm7,Bb7|Eb6",NA,""
"It's Magic","Bbmaj7,Ebmaj7|Bb/D,Db07|Cm7,F7|Cm7,F7|Cm7|F7|Bbmaj7|F7sus,F7",NA,""
"It's Only a Paper Moon","Gmaj7,E7|Am7,D7|Am7,D7|Gmaj7,,Am7,D7|Dm7,G7|Cmaj7,Am7b5|D7|G6,,Am7,D7",NA,""
"It's The Talk Of The Town","Fmaj7,Ab07|Gm7,C7|Fmaj7,F7#5|Bbmaj7,Eb7|Fmaj7,E7|Eb7,D7|G7,C7|F6,C7",NA,""
"It's You Or No One","Gm7|C7|Fmaj7,Bb7|Am7,D7|Gm7|C7|Fmaj7|Fmaj7",NA,""
"James","D#6,B/D#|G/D,A/C#|C6,C07|G/B,Gm/Bb|D/A|Fmaj7/A|D/A|Gadd9,,G,A",NA,""
"Je Ne Sais Pas","Fmaj7,,Bbm7,Eb7|Abmaj7,Db7|Gm7,C7|Fmaj7,D7|Bbmaj7,B07|Fmaj7,D7b9|Gm7,C7|F6",NA,""
"Jeannie's Song","Gm7|C7|Gm7|C7|Fmaj7|Bb9|Am7|Ab07",NA,""
"Jeannine","Dbmaj7|Gm7b5,C7|Fmaj7|Fmaj7|Fm7|Bb7|Bbm7|Eb7",NA,""
"Jeepers Creepers","Cm7,F7|Bb6,Gm7|Cm7,F7|Bb6,Gm7|Cm7,F7|Bb6,Gm7|Cm7,F7|Bb6",NA,""
"Jersey Bounce","F6|F6|G7|G7|Gm7|C7|F6,Db7|F6",NA,""
"Joker, The","Eb6,C7#9|Fm7,Bb7|Gm7,C7|Fm7,Bb7|Bbm7,Eb7|Abmaj7,Db7|Fm7,Bb7|Eb6",NA,""
"Jordu","D7,G7|Cm6|F7,Bb7|Ebmaj7|D7,G7|Cm6|Ab7|Ab7",NA,""
"Joy Spring","Fmaj7|Gm7,C7|Fmaj7|Bbm7,Eb7|Am7,Ab7|Gm7,C7|Fmaj7|Abm7,Db7",NA,""
"Just A-Sittin' And A-Rockin","Ab,Ab7/C|Db,Ab6|Db,Ab/C|Bbm7,Eb7,Ab6,|Db,Ab/C|Db,D07|Db,D07,Ab/Eb,Fm7|Bbm7,Eb7,Ab6,",NA,""
"Just Friends","Cmaj7|Cmaj7|Cm7|F7|Gmaj7|Gmaj7|Bbm7|Eb7",NA,""
"Just In Tune","D7sus|D7sus|Dm7b5|G7b9|Cm7|Cm7/Bb|Am7|Am7",NA,""
"Just One More Chance","Dm7,G7|Cmaj7|Am7b5,D7|Gmaj7|Bm7b5,E7|Am7|Em7,A7|Am7,D7",NA,""
"Just Squeeze Me","Fmaj7,Gm7|Am7,C7|Fmaj7,Bbmaj7|Am7,D7|Gm7|C7|Fmaj7,D7|Gm7,C7",NA,""
"Just You, Just Me","C6|A7|Dm7|G7|C6,C7|Fmaj7,Bb7|C6/G,G7|C,G7",NA,""
"Kary's Trance","Am6|Am6|Dm6|Dm6|Bm7b5|E7b9|Am6|Am6",NA,""
"Keepin' Myself For You","Ebmaj7,E07|F7,Bb7|Am7b5,Abm7|Gm7b5,C7b9|Fm7,Abm6|Fm7,Bb7sus|Eb6,C7b9|Fm7,Bb7",NA,""
"Kids Are Pretty People","Dm7,A7#9|Dm7,,Cm7,F7|Bb7,A7#9|Dm7,G7|Fmaj7/C,A7/C#|Dm7,Dm7/C|Bm7b5,E7#9|A7#9",NA,""
"L.O.V.E.","G6|Gmaj7|Am7|D7|D7|D7|Gmaj7|G6",NA,""
"La Vie En Rose","C,C6|Cmaj7,C6|C|Dm7,G7|Dm7,G7|Dm7,G7|Dm7,G7|C,C#0,Dm7,G7",NA,""
"Ladies In Mercedes","Gmaj7|Gmaj7|C7#11|C7#11|Bm7|Bm7|E7|E7",NA,""
"Lady Sings The Blues","Fm|Fmaug|Fm6|Fm7|Fmaj7|Bbmaj7|Fmaj7,Eb7,D7,|Gm7,C7b9",NA,""
"Lady's In Love With You, The","A7|A7|Am7|D7|G6|G6,D7#5|G6|G6",NA,""
"Lakes","D,,A/C#,Bm|Bm,D/A|E/G#,G/A|Dmaj7,F#7|F#7,Bm7|Em,,G/A,A/G|Dmaj7/F#,Em9|G/A,Bb/A",NA,""
"Lament","Fm|Ebm7,Ab7|Dbmaj7|Gm7b5,C7b9|Fmaj7|Dm7|Gm7(Em7b5)|Em7b5(A7b9),A7b9",NA,""
"Lamp Is Low, The","Dm7(G13sus)|G7|Dm7|G7|C6|F7|Em7|A7",NA,""
"Last Night When We Were Young","Gmaj7,C7|Bm7,E7b13|A7|Am7,D7#9|Dm7,G7|Am7b5,D7b9|Gmaj7,G#07|Am7,D7",NA,""
"Last Time I Saw Paris, The","Ab6|Ab6|Ab6|Eb7|Bbm7|Eb7|Bbm7,Eb7|Ab6",NA,""
"Laura","Am9|D7b9|G6|G6|Gm9|C7b9|Fmaj7|Fmaj7",NA,""
"Lazy Afternoon","Am7|A7|Am7|D7|Am7|D7|Am7|D7",NA,""
"Lazy Bird","Am7,D7|Cm7,F7|Fm7|Bb7|Ebmaj7|Am7,D7|Gmaj7|Gmaj7",NA,""
"Lazybones","Cmaj7,F7|Cmaj7,F7|Cmaj7,,F7,G7|C6,C7/Bb|A7|Dm7|Ab7b5,G7|C6,,Dm7,G7",NA,""
"Leila","Gm7,C7b9|Am7,D7b9|Gm7,C7b9|Fmaj7|Bbm7,Eb7b9|Abmaj7,Dbmaj7|Gm7,C7b9|Fmaj7",NA,""
"Let There Be Love","Ebmaj7|Abmaj7|Gm7b5|C7|Fm7b5|Bb7|Ebmaj7,Ab7|Gm7,F#07",NA,""
"Let There Be You","Cmaj7,F#07|Dm7,G7|G7,G7#5|C,C,B7,Bb7|A7|Dm7|D7,G7,Dm7,G7|Cmaj7",NA,""
"Let's Call This","D9sus|D9sus|D9sus|D9sus|D9sus|D9sus,F#7|F7,E7|Eb7,D7",NA,""
"Let's Cool One","Ebmaj7|Fm7,Bb7|Eb,D7,Db7,G7|C7b9#11|F7|Bb7|Eb6|Eb6(Fm7),(Bb7)",NA,""
"Let's Do It (Let's Fall In Love)","Bb6,B07|Cm7,F7|Bb6,Bb7|Eb7|Bb6/D,Gm7|Cm7,F7b9|Bb6,G7#5|Cm7,F7#5",NA,""
"Let's Fall In Love","Am,Am/maj7|Am7|D7,Am7|D7,D#07|Em7,Am7|Dm7,G7|Em7,A7b9|Dm7,G7",NA,""
"Let's Get Away From It All","Ebmaj7,Bb7b9|Ebmaj7,Eb7|Abmaj7,F#07|Gm7,C7|Fm7,Bb7|Db7,C7|Fm7,E7|Eb6",NA,""
"Let's Get Lost","Cmaj7|F#m7b5|Cmaj7|F#m7b5,B7b9|Em7b5|A7b13|Em7b5|A7b13",NA,""
"Li'l Darling","Bb6,Bbm6|F6,F7|Bb6,Bbm6|Am7b5,D7b9|G7|Dm7,G7|Gm7,C7|Am7b5,D7b9",NA,""
"Like Someone In Love","Ebmaj7,G7/D|Cm7,Cm7/Bb|Am7b5,Ab7|Gm7,C7|Fm7|Am7(Bb7),D7|Ebmaj7|Bbm7,Eb7",NA,""
"Like Sonny","Am7|Am7|Fm7|Fm7|C#m7|C#m7,F#7|Bmaj7|Ebm7,Ab7",NA,""
"Lily of The Valley","F|F|C7|F|F|F|C7|F",NA,""
"Line For Lyons","G6,G7b9|Cm7,F7|Bm7,E7|Am7,D7|Gmaj7,E7|Am7,D7|G6|Am7,D7",NA,""
"Linger Awhile","F6|F6,C7|F7|F7,Db7|C7|C7|F6|Gm7,C7",NA,""
"Little Chicago Fire","Bb69,G7#5|Cm9,F13b9|Bbmaj7,Db9|Gbmaj7,F7b9#5|Bm7,E9|Eb69,Ebm7/Ab|Dm7,G7#9|Cm7,F9,Bb69,",NA,""
"Little Peace In C For You","Cmaj7,A7|Dm7,G7|Em7,A7|Dm7b5,G7|Cmaj7,A7|Dm7,G7|Cmaj7,A7|Dm7,G7",NA,""
"Little Rootie Tootie","Abmaj7,F7|Bbm7,Eb7|Abmaj7,F7|Bbm7,Eb7|Abmaj7,Ab7|Dbmaj7,D07|Ab6/Eb,Eb7|Ab6",NA,""
"Little Sunflower","Dm7|Dm7|Dm7|Dm7|Dm7|Dm7|Dm7|Dm7",NA,""
"Liza","Cm7|Abmaj7|Cm7|Bbm7,Eb7|Ab6|Gm7b5,C7b9|Fm7|B7,Bb7",NA,""
"Lonely Dreams","G7b5|Dbm7,Gb7|G7b5|Dbm7,Gb7|Cm7,F7|B7b5|Bbmaj7|Bbmaj7",NA,""
"Lonesome Road, The","Eb6|Eb7|Abm6|Abm6|Eb|Bb7|Eb|Eb",NA,""
"Long Ago And Far Away","F6,Dm7|Gm7,C7|Fmaj7,Dm7|Gm7,C7|F6,Dm7|Gm7,C7|F6,D7|Gm7,C7",NA,""
"Lonnie's Lament","Cm7,Dm7|Ebmaj7,Dm7|Cm7,Dm7|Ebmaj7,Dm7|Cm7,Dm7|Ebmaj7,Dm7|Cm7,Dm7|Ebmaj7,Dm7",NA,""
"Look For The Silver Lining","Ebmaj7|Fm7,Bb7|Ebmaj7|Fm7,Bb7|Gm7|Ab7|Gm7|Cm7",NA,""
"Love Is Just Around The Corner","G7,C7|Fmaj7,D7|G7,C7|Fmaj7,D7|G7,C7|Am7,D7|G7,C7|F6,D7",NA,""
"Love Is The Sweetest Thing","D6,Bm7|Em7,A7|D6,Bm7|Em7,A7|Am7,D7|Gmaj7,Em7|Bm7,,E7,A7|D6",NA,""
"Love Me Or Leave Me","Fm7|G7,C7|Fm7|G7,C7|Abmaj7,Fm7|Bbm7,Eb7|Ab6|Gm7b5,C7b9",NA,""
"Love Nest, The","Ebmaj7,Cm7|Fm7,Bb7|Ebmaj7|Eb7|Abmaj7,Fm7|Bbm7,Eb7|Abmaj7|Abmaj7",NA,""
"Love Vibrations","Dm7b5|Db7b5|Cm7|F7|Fm7|Bb7|Ebmaj7,A7|Ab7,D7b9",NA,""
"Love Walked In","Ebmaj7|Cm7|F7|Bb7sus,Bb7|Ebmaj7|Cm7|F7|Bb7",NA,""
"Lover Man","Dm7,G7|Dm7,G7|Gm7,C7|Gm7,C7|F7|Bb7|Abm7,Db7,Gm7,C7|Fmaj7,,(Em7b5),(A7)",NA,""
"Lucky Southern","Dmaj7|Dmaj7|E7|E7|Gmaj7|Bb7,A7|Dmaj7|Dmaj7,Ebmaj7#11",NA,""
"Lullaby In Rhythm","Fmaj7|Fmaj7,G07|Fmaj7|Abm7,Db7|Gbmaj7|Gm7|C7|F6",NA,""
"Lullaby Of Birdland","Fm,Dm7b5|G7,C7|Fm|Bbm7,Eb7|Cm7,Fm7|Bbm7,Eb7|Abmaj7,Eb7|Ab6,,Gm7b5,C7",NA,""
"Lullaby Of The Leaves","Cm,Am7b5|D7,G7b13|Gm7,C7|Fm7,Fm7/Eb|Dm7b5|G7b13|Cm|Dm7b5,G7b9",NA,""
"Lulu's Back In Town","C7,F7|Bb7,Ebmaj7|C7,F7|Bb7,Eb7|Abmaj7,A07|Gm7,C7|F7,Bb7|Eb6",NA,""
"Lyresto","Ebmaj7|Gm7,C7|Fm7|Bb7|Ebmaj7|Gm7,C7|Abm7|Db7",NA,""
"Mahjong","Fm11|Eb69|Fm11|Eb69|Fm11|Eb69|Fm11|Eb69",NA,""
"Maiden Voyage","D9sus|D9sus|D9sus|D9sus|F9sus|F9sus|F9sus|F9sus",NA,""
